component,npv_cost
TotalGenFixedCosts,15382858.34934143
StorageEnergyInstallCosts,742873.237195396
EmissionsCosts,1083654.167405159
DemandCharges,70210420.73169933
GenVariableOMCostsInTP,6.651499089151856
FuelCostsPerTP,40356775.88957025
PurchasedPowerCost,151857275.0360561
NonEnergyCharge,177045954.4992512
