PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,100608391.57418507,21771813.08559387,37.375318606269886,582518.461312636
2025,114768140.91853067,27420956.305671163,47.07311120042668,582518.461312636
2030,118746815.21446906,31324495.092186116,53.774252959468605,582518.461312636
2035,122556470.85484125,35694328.32770247,61.27587484054934,582518.461312636
