timeseries,Battery_Storage,Cogen_Power_Plant,Rooftop_PV-0
202505,1.33738,0,9.88067
202505,0,0,8.15043
202505,0,0,6.7784
202506,1.37305,0,8.42017
202506,0,0,8.66958
202506,0,0,9.0894
202507,0,0,7.96805
202507,0,0,10.2264
202507,1.45209,0,9.05494
202508,0,0,9.60615
202508,0,0,8.51359
202508,1.54552,0,9.50749
202509,0,0,8.51334
202509,1.40512,0,7.4669
202509,0,0,6.59958
202510,0,0,5.9138
202510,0,0,4.6831
202510,1.34397,0,7.21629
202511,1.33738,0,5.20377
202511,0,0,6.6311
202511,0,0,3.75389
202512,1.37951,0,6.04746
202512,0,0,5.94463
202512,0,0,5.42904
202601,0.758408,0,6.02194
202602,0.337531,0,2.36694
202603,1.15679,0,4.41674
202604,1.37994,0,7.21149
202605,0.762232,0,6.7784
202606,0.97666,0,8.66958
202607,0.740603,0,7.96805
202608,0.520425,0,8.51359
202609,1.26918,0,6.59958
202610,1.33024,0,4.6831
202611,0.604008,0,3.75389
202612,0.480141,0,5.94463
202701,0.748837,0,6.02194
202702,0.337531,0,2.36694
202703,1.15679,0,4.41674
202704,1.37994,0,7.21149
202705,0.762232,0,6.7784
202706,0.97018,0,8.66958
202707,0.670106,0,7.96805
202708,0.488177,0,8.51359
202709,1.00621,0,6.59958
202710,0.730746,0,4.6831
202711,0.578934,0,3.75389
202712,0.473661,0,5.94463
202801,0.748837,0,6.02194
202802,0.301164,0,2.36694
202803,1.15679,0,4.41674
202804,1.28378,0,7.21149
202805,0.709633,0,6.7784
202806,0.97018,0,8.66958
202807,0.670106,0,7.96805
202808,0.488177,0,8.51359
202809,1.00621,0,6.59958
202810,0.730746,0,4.6831
202811,0.578934,0,3.75389
202812,0.473661,0,5.94463
202901,0.748837,0,6.02194
202902,0.301164,0,2.36694
202903,1.15679,0,4.41674
202904,1.28378,0,7.21149
202905,0.709633,0,6.7784
202906,0.97018,0,8.66958
202907,0.670106,0,7.96805
202908,0.488177,0,8.51359
202909,1.00621,0,6.59958
202910,0.730746,0,4.6831
202911,0.578934,0,3.75389
202912,0.473661,0,5.94463
203001,0,0,4.80792
203001,0,142.397,6.02194
203001,0,90.9973,4.87254
203002,0,0,7.75176
203002,0,144.313,4.98919
203002,0,88.5653,2.36694
203003,0,191.979,7.25333
203003,0,4.63693,4.41674
203003,0,0,9.55494
203004,0,52.3685,5.22268
203004,0,153.412,7.21149
203004,0,178.964,6.16481
203005,0,174.597,9.88067
203005,0,50.4561,8.15043
203005,0,135.816,6.7784
203006,0,136.285,8.42017
203006,0,108.063,8.66958
203006,0,88.4458,9.0894
203007,0,125.052,7.96805
203007,0,0,10.2264
203007,0,174.832,9.05494
203008,0,0,9.60615
203008,0,21.2193,8.51359
