timeseries,GenVariableOMCostsInTP,FuelCostsPerTP,PurchasedPowerCost,NonEnergyCharge
202001,0,0,59613.4,28686.5
202001,0,0,81397.2,39169
202001,0,0,75666.2,36411.2
202002,0,0,53579.9,29333.9
202002,0,0,71726.1,39268.6
202002,0,0,66998.8,36680.5
202003,0,0,52084.5,39457.9
202003,0,0,41907.9,31748.4
202003,0,0,36855.7,27921
202004,0,0,33777.4,34209.1
202004,0,0,39299.5,39801.8
202004,0,0,40490.5,41008
202005,0,0,44610.1,41034.7
202005,0,0,38012.4,34965.8
202005,0,0,42851,39416.6
202006,0,0,46842.1,39417.1
202006,0,0,45514.7,38300.1
202006,0,0,43957.6,36989.8
202007,0,0,48463,38885.5
202007,0,0,39647.1,31811.9
202007,0,0,51324.4,41181.5
202008,0,0,42312,33837.8
202008,0,0,44654.9,35711.4
202008,0,0,54439.7,43536.5
202009,0,0,45631.6,35246.3
202009,0,0,58421.3,45125.3
202009,0,0,48242.8,37263.3
202010,0,0,49119.7,36717
202010,0,0,50769,37949.9
202010,0,0,59619,44565.3
202011,0,0,61100.8,42955.8
202011,0,0,47531,33415.8
202011,0,0,52230.7,36719.9
202012,0,0,64498.1,44464.8
202012,0,0,49349.7,34021.5
202012,0,0,49478.8,34110.5
202101,0,0,164940,127282
202102,0,0,152208,119196
202103,0,0,130327,103169
202104,0,0,156115,129339
202105,0,0,157844,128087
202106,0,0,154028,124459
202107,0,0,155450,126361
202108,0,0,142253,116047
202109,0,0,152505,121089
202110,0,0,160272,123321
202111,0,0,163179,119324
202112,0,0,154281,110555
202201,0,0,169822,137669
202202,0,0,153821,128922
202203,0,0,131383,111587
202204,0,0,156747,139893
202205,0,0,158369,138539
202206,0,0,152440,134614
202207,0,0,155420,136672
202208,0,0,142576,125516
202209,0,0,153339,130970
202210,0,0,162424,133384
202211,0,0,165581,129060
202212,0,0,156926,119576
202301,0,0,188315,152535
202302,0,0,174217,142844
202303,0,0,146989,123637
202304,0,0,172934,154999
202305,0,0,174246,153499
202306,0,0,168176,149151
202307,0,0,169767,151431
202308,0,0,154811,139070
202309,0,0,168089,145114
202310,0,0,178193,147787
202311,0,0,185169,142997
202312,0,0,175487,132489
202401,0,0,190594,162107
202402,0,0,174028,151808
202403,0,0,146246,131396
202404,0,0,170875,164726
202405,0,0,171926,163132
202406,0,0,164189,158511
202407,0,0,166878,160934
202408,0,0,152682,147797
202409,0,0,166792,154220
202410,0,0,178452,157061
202411,0,0,186270,151971
202412,0,0,177589,140803
202501,0,0,46816.1,42706.6
202501,0,0,63923.6,58312.3
202501,0,0,59422.9,54206.7
202502,0,0,46062.5,43670.4
202502,0,0,61662.8,58460.5
202502,0,0,57598.7,54607.5
202503,0,0,59908.2,58742.4
202503,0,0,48203.1,47265
202503,0,0,42391.9,41567
202504,0,0,48031.9,50928.4
202504,0,0,55884.4,59254.3
202504,0,0,57578,61050.1
202505,0,0,58505.5,61089.8
202505,0,0,49852.7,52054.8
202505,0,0,56198.5,58680.9
202506,0,0,54606.5,58681.6
202506,0,0,53059.1,57018.7
202506,0,0,51243.8,55067.9
202507,0,0,54325.6,57890.2
202507,0,0,44443.2,47359.5
202507,0,0,57533.2,61308.3
202508,0,0,47233.1,50375.5
202508,0,0,49848.5,53164.9
202508,0,0,60771.3,64814.4
202509,0,0,51848.5,52472.4
202509,0,0,66380.8,67179.6
202509,0,0,54815.5,55475.1
202510,0,0,57299.7,54661.8
202510,0,0,59223.7,56497.3
202510,0,0,69547.5,66345.8
202511,0,0,72671.4,63949.8
202511,0,0,56531.8,49747.3
202511,0,0,62121.5,54666.1
202512,0,0,77885.5,66196.2
202512,0,0,59592.9,50649
202512,0,0,59748.8,50781.5
202601,0,0,190396,186341
202602,0,0,169615,174502
202603,0,0,141224,151039
