TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period,ts_month
20261222,2025,0.25,96,30.41667,202612
20270109,2025,0.25,96,30.41667,202701
20270212,2025,0.25,96,30.41667,202702
20270327,2025,0.25,96,30.41667,202703
20270411,2025,0.25,96,30.41667,202704
20270531,2025,0.25,96,30.41667,202705
20270614,2025,0.25,96,30.41667,202706
20270711,2025,0.25,96,30.41667,202707
20270824,2025,0.25,96,30.41667,202708
20270929,2025,0.25,96,30.41667,202709
20271027,2025,0.25,96,30.41667,202710
20271129,2025,0.25,96,30.41667,202711
20271222,2025,0.25,96,30.41667,202712
20280109,2025,0.25,96,30.41667,202801
20280212,2025,0.25,96,30.41667,202802
20280327,2025,0.25,96,30.41667,202803
20280411,2025,0.25,96,30.41667,202804
20280531,2025,0.25,96,30.41667,202805
20280614,2025,0.25,96,30.41667,202806
20280711,2025,0.25,96,30.41667,202807
20280824,2025,0.25,96,30.41667,202808
20280929,2025,0.25,96,30.41667,202809
20281027,2025,0.25,96,30.41667,202810
20281129,2025,0.25,96,30.41667,202811
20281222,2025,0.25,96,30.41667,202812
20290109,2025,0.25,96,30.41667,202901
20290212,2025,0.25,96,30.41667,202902
20290327,2025,0.25,96,30.41667,202903
20290411,2025,0.25,96,30.41667,202904
20290531,2025,0.25,96,30.41667,202905
20290614,2025,0.25,96,30.41667,202906
20290711,2025,0.25,96,30.41667,202907
20290824,2025,0.25,96,30.41667,202908
20290929,2025,0.25,96,30.41667,202909
20291027,2025,0.25,96,30.41667,202910
20291129,2025,0.25,96,30.41667,202911
20291222,2025,0.25,96,30.41667,202912
20300105,2030,0.25,96,10.13889,203001
20300109,2030,0.25,96,10.13889,203001
20300116,2030,0.25,96,10.13889,203001
20300203,2030,0.25,96,10.13889,203002
20300207,2030,0.25,96,10.13889,203002
20300212,2030,0.25,96,10.13889,203002
20300321,2030,0.25,96,10.13889,203003
20300327,2030,0.25,96,10.13889,203003
20300331,2030,0.25,96,10.13889,203003
20300401,2030,0.25,96,10.13889,203004
20300411,2030,0.25,96,10.13889,203004
20300422,2030,0.25,96,10.13889,203004
20300501,2030,0.25,96,10.13889,203005
20300521,2030,0.25,96,10.13889,203005
20300531,2030,0.25,96,10.13889,203005
20300612,2030,0.25,96,10.13889,203006
20300614,2030,0.25,96,10.13889,203006
20300628,2030,0.25,96,10.13889,203006
20300711,2030,0.25,96,10.13889,203007
20300714,2030,0.25,96,10.13889,203007
20300730,2030,0.25,96,10.13889,203007
20300818,2030,0.25,96,10.13889,203008
20300824,2030,0.25,96,10.13889,203008
20300829,2030,0.25,96,10.13889,203008
20300901,2030,0.25,96,10.13889,203009
20300911,2030,0.25,96,10.13889,203009
20300929,2030,0.25,96,10.13889,203009
20301019,2030,0.25,96,10.13889,203010
20301027,2030,0.25,96,10.13889,203010
20301031,2030,0.25,96,10.13889,203010
20301106,2030,0.25,96,10.13889,203011
20301124,2030,0.25,96,10.13889,203011
20301129,2030,0.25,96,10.13889,203011
20301209,2030,0.25,96,10.13889,203012
20301222,2030,0.25,96,10.13889,203012
20301230,2030,0.25,96,10.13889,203012
20310109,2030,0.25,96,30.41667,203101
20310212,2030,0.25,96,30.41667,203102
20310327,2030,0.25,96,30.41667,203103
20310411,2030,0.25,96,30.41667,203104
20310531,2030,0.25,96,30.41667,203105
20310614,2030,0.25,96,30.41667,203106
20310711,2030,0.25,96,30.41667,203107
20310824,2030,0.25,96,30.41667,203108
20310929,2030,0.25,96,30.41667,203109
20311027,2030,0.25,96,30.41667,203110
20311129,2030,0.25,96,30.41667,203111
20311222,2030,0.25,96,30.41667,203112
20320109,2030,0.25,96,30.41667,203201
