timepoint_id,NEC_noDef,NEC_30Def,year,month
1728.5,5.32999999999981,5.710000000000354,2020.0,6.5
4032.5,5.659999999999897,6.130000000000132,2021.0,6.5
5184.5,6.0,6.519999999999858,2022.0,6.5
6336.5,6.519999999999858,7.110000000000033,2023.0,6.5
7488.5,6.789999999999992,7.439999999999941,2024.0,6.5
9792.5,7.189999999999598,7.920000000000508,2025.0,6.5
12096.5,7.510000000000065,8.3,2026.0,6.5
13248.5,7.819999999999834,8.689999999999866,2027.0,6.5
14400.5,8.15,9.119999999999816,2028.0,6.5
15552.5,8.480000000000176,9.569999999999812,2029.0,6.5
17856.5,9.02000000000059,10.19000000000029,2030.0,6.5
20160.5,9.419999999999813,10.710000000000218,2031.0,6.5
21312.5,9.780000000000191,11.269999999999795,2032.0,6.5
22464.5,10.030000000000195,11.869999999999852,2033.0,6.5
23616.5,10.339999999999794,12.519999999999921,2034.0,6.5
25920.5,10.640000000000375,13.22000000000077,2035.0,6.5
28224.5,10.939999999999774,13.97999999999995,2036.0,6.5
29376.5,11.25,14.8,2037.0,6.5
30528.5,11.58000000000018,15.689999999999666,2038.0,6.5
31680.5,11.910000000000254,16.65,2039.0,6.5
