GENERATION_PROJECT,timepoint_id,ppa_price_wo
West_Oahu_PV,1,170
West_Oahu_PV,2,170
West_Oahu_PV,3,170
West_Oahu_PV,4,170
West_Oahu_PV,5,170
West_Oahu_PV,6,170
West_Oahu_PV,7,170
West_Oahu_PV,8,170
West_Oahu_PV,9,170
West_Oahu_PV,10,170
West_Oahu_PV,11,170
West_Oahu_PV,12,170
West_Oahu_PV,13,170
West_Oahu_PV,14,170
West_Oahu_PV,15,170
West_Oahu_PV,16,170
West_Oahu_PV,17,170
West_Oahu_PV,18,170
West_Oahu_PV,19,170
West_Oahu_PV,20,170
West_Oahu_PV,21,170
West_Oahu_PV,22,170
West_Oahu_PV,23,170
West_Oahu_PV,24,170
West_Oahu_PV,25,170
West_Oahu_PV,26,170
West_Oahu_PV,27,170
West_Oahu_PV,28,170
West_Oahu_PV,29,170
West_Oahu_PV,30,170
West_Oahu_PV,31,170
West_Oahu_PV,32,170
West_Oahu_PV,33,170
West_Oahu_PV,34,170
West_Oahu_PV,35,170
West_Oahu_PV,36,170
West_Oahu_PV,37,170
West_Oahu_PV,38,170
West_Oahu_PV,39,170
West_Oahu_PV,40,170
West_Oahu_PV,41,170
West_Oahu_PV,42,170
West_Oahu_PV,43,170
West_Oahu_PV,44,170
West_Oahu_PV,45,170
West_Oahu_PV,46,170
West_Oahu_PV,47,170
West_Oahu_PV,48,170
West_Oahu_PV,49,170
West_Oahu_PV,50,170
West_Oahu_PV,51,170
West_Oahu_PV,52,170
West_Oahu_PV,53,170
West_Oahu_PV,54,170
West_Oahu_PV,55,170
West_Oahu_PV,56,170
West_Oahu_PV,57,170
West_Oahu_PV,58,170
West_Oahu_PV,59,170
West_Oahu_PV,60,170
West_Oahu_PV,61,170
West_Oahu_PV,62,170
West_Oahu_PV,63,170
West_Oahu_PV,64,170
West_Oahu_PV,65,170
West_Oahu_PV,66,170
West_Oahu_PV,67,170
West_Oahu_PV,68,170
West_Oahu_PV,69,170
