Date,predicted_NG_up
2019-07-01,38.476650488429705
2019-08-01,38.036560444086774
2019-09-01,37.72640284367207
2019-10-01,37.434545011397745
2019-11-01,37.30452979099674
2019-12-01,37.0956876717269
2020-01-01,36.878960038431686
2020-02-01,36.71402775413564
2020-03-01,36.5532141674336
2020-04-01,36.21466878145032
2020-05-01,36.04853088217442
2020-06-01,35.97459948128915
2020-07-01,35.69422420654896
2020-08-01,35.512516539665924
2020-09-01,35.3649231671989
2020-10-01,35.17585001730766
2020-11-01,35.00819617243245
2020-12-01,34.93163832275831
2021-01-01,34.692610707699544
2021-02-01,34.567196885343535
2021-03-01,34.44405341063671
2021-04-01,34.308922604218665
2021-05-01,34.20649467220254
2021-06-01,34.12669815245467
2021-07-01,34.00204197828471
2021-08-01,33.888058450670236
2021-09-01,33.77028603289835
2021-10-01,33.690592091053986
2021-11-01,33.61287050155682
2021-12-01,33.59256137511672
2022-01-01,33.48016715577939
2022-02-01,33.43114790244733
2022-03-01,33.382128649115266
2022-04-01,33.33310939578321
2022-05-01,33.28409014245116
2022-06-01,33.23507088911909
2022-07-01,33.19830644912005
2022-08-01,33.161542009121014
2022-09-01,33.12477756912196
2022-10-01,33.08801312912292
2022-11-01,33.051248689123874
2022-12-01,33.018569186902496
2023-01-01,33.01039931134716
2023-02-01,33.00222943579182
2023-03-01,32.994059560236465
2023-04-01,32.985889684681126
2023-05-01,32.97771980912579
2023-06-01,32.96954993357044
2023-07-01,32.9613800580151
2023-08-01,32.95321018245976
2023-09-01,32.945040306904424
2023-10-01,32.93687043134907
2023-11-01,32.932785493571394
2023-12-01,32.92870055579373
2024-01-01,32.932785493571394
2024-02-01,32.93687043134907
2024-03-01,32.94095536912674
2024-04-01,32.945040306904424
2024-05-01,32.94912524468208
2024-06-01,32.95321018245976
2024-07-01,32.957295120237426
2024-08-01,32.96546499579277
2024-09-01,32.97363487134812
2024-10-01,32.981804746903464
2024-11-01,32.9899746224588
2024-12-01,32.99814449801414
2025-01-01,33.00222943579182
2025-02-01,33.00631437356949
2025-03-01,33.01039931134716
2025-04-01,33.01448424912483
2025-05-01,33.018569186902496
2025-06-01,33.026739062457835
2025-07-01,33.03490893801319
2025-08-01,33.04307881356853
2025-09-01,33.047163751346204
2025-10-01,33.051248689123874
2025-11-01,33.05941856467922
2025-12-01,33.06758844023456
2026-01-01,33.071673378012235
2026-02-01,33.075758315789905
2026-03-01,33.079843253567574
2026-04-01,33.08392819134525
2026-05-01,33.08392819134525
2026-06-01,33.08392819134525
2026-07-01,33.08801312912292
2026-08-01,33.09209806690059
2026-09-01,33.09618300467827
2026-10-01,33.10026794245593
2026-11-01,33.10026794245593
2026-12-01,33.10026794245593
2027-01-01,33.104352880233606
2027-02-01,33.108437818011275
2027-03-01,33.112522755788945
2027-04-01,33.11660769356662
2027-05-01,33.12069263134429
2027-06-01,33.12477756912196
2027-07-01,33.12886250689963
2027-08-01,33.132947444677306
2027-09-01,33.137032382454976
2027-10-01,33.141117320232645
2027-11-01,33.14520225801032
2027-12-01,33.149287195787984
2028-01-01,33.15745707134332
2028-02-01,33.165626946898676
2028-03-01,33.16971188467634
2028-04-01,33.173796822454015
2028-05-01,33.17788176023169
2028-06-01,33.181966698009354
2028-07-01,33.18605163578703
2028-08-01,33.19013657356471
2028-09-01,33.19422151134238
2028-10-01,33.19830644912005
2028-11-01,33.202391386897716
2028-12-01,33.206476324675386
2029-01-01,33.21056126245306
2029-02-01,33.21464620023073
2029-03-01,33.21873113800841
2029-04-01,33.21873113800841
2029-04-01,33.21873113800841
2029-05-01,33.21873113800841
2029-05-01,33.21873113800841
2029-06-01,33.21873113800841
2029-06-01,33.21873113800841
2029-07-01,33.21873113800841
2029-07-01,33.21873113800841
2029-08-01,33.21873113800841
2029-08-01,33.21873113800841
2029-09-01,33.21873113800841
2029-09-01,33.21873113800841
2029-10-01,33.21873113800841
2029-10-01,33.21873113800841
2029-11-01,33.21873113800841
2029-11-01,33.21873113800841
2029-12-01,33.21873113800841
2029-12-01,33.21873113800841
2030-01-01,33.21873113800841
2030-01-01,33.21873113800841
2030-02-01,33.21873113800841
2030-02-01,33.21873113800841
2030-03-01,33.21873113800841
2030-03-01,33.21873113800841
2030-04-01,33.21873113800841
2030-04-01,33.21873113800841
2030-05-01,33.21873113800841
2030-05-01,33.21873113800841
2030-06-01,33.21873113800841
2030-06-01,33.21873113800841
2030-07-01,33.21873113800841
2030-07-01,33.21873113800841
2030-08-01,33.21873113800841
2030-08-01,33.21873113800841
2030-09-01,33.21873113800841
2030-09-01,33.21873113800841
2030-10-01,33.21873113800841
2030-10-01,33.21873113800841
2030-11-01,33.21873113800841
2030-11-01,33.21873113800841
2030-12-01,33.21873113800841
2030-12-01,33.21873113800841
2031-01-01,33.21873113800841
2031-01-01,33.21873113800841
2031-02-01,33.21873113800841
2031-02-01,33.21873113800841
2031-03-01,33.21873113800841
2031-03-01,33.21873113800841
2031-04-01,33.21873113800841
2031-04-01,33.21873113800841
2031-05-01,33.21873113800841
2031-05-01,33.21873113800841
2031-06-01,33.21873113800841
2031-06-01,33.21873113800841
2031-07-01,33.21873113800841
2031-07-01,33.21873113800841
2031-08-01,33.21873113800841
2031-08-01,33.21873113800841
2031-09-01,33.21873113800841
2031-09-01,33.21873113800841
2031-10-01,33.21873113800841
2031-10-01,33.21873113800841
2031-11-01,33.21873113800841
2031-11-01,33.21873113800841
2031-12-01,33.21873113800841
2031-12-01,33.21873113800841
2032-01-01,33.21873113800841
2032-01-01,33.21873113800841
