timepoint_id,purchase_power_price
1,123.6349
2,123.6349
3,123.6349
4,123.6349
5,123.6349
6,123.6349
7,123.6349
8,123.6349
9,123.6349
10,123.6349
11,123.6349
12,123.6349
13,123.6349
14,123.6349
15,123.6349
16,123.6349
17,123.6349
18,123.6349
19,123.6349
20,123.6349
21,123.6349
22,123.6349
23,123.6349
24,123.6349
25,123.6349
26,123.6349
27,123.6349
28,123.6349
29,123.6349
30,123.6349
31,123.6349
32,123.6349
33,123.6349
34,123.6349
35,123.6349
36,123.6349
37,123.6349
38,123.6349
39,123.6349
40,123.6349
41,123.6349
42,123.6349
43,123.6349
44,123.6349
45,123.6349
46,123.6349
47,123.6349
48,123.6349
49,123.6349
50,123.6349
51,123.6349
52,123.6349
53,123.6349
54,123.6349
55,123.6349
56,123.6349
57,123.6349
58,123.6349
59,123.6349
60,123.6349
61,123.6349
62,123.6349
63,123.6349
64,123.6349
65,123.6349
66,123.6349
67,123.6349
68,123.6349
69,123.6349
70,123.6349
71,123.6349
72,123.6349
73,123.6349
74,123.6349
75,123.6349
76,123.6349
77,123.6349
78,123.6349
79,123.6349
80,123.6349
81,123.6349
82,123.6349
83,123.6349
84,123.6349
85,123.6349
86,123.6349
87,123.6349
88,123.6349
89,123.6349
90,123.6349
91,123.6349
92,123.6349
93,123.6349
94,123.6349
95,123.6349
96,123.6349
97,123.6349
98,123.6349
99,123.6349
100,123.6349
101,123.6349
102,123.6349
103,123.6349
104,123.6349
105,123.6349
106,123.6349
107,123.6349
108,123.6349
109,123.6349
110,123.6349
111,123.6349
112,123.6349
113,123.6349
114,123.6349
115,123.6349
116,123.6349
117,123.6349
118,123.6349
119,123.6349
120,123.6349
121,123.6349
122,123.6349
123,123.6349
124,123.6349
125,123.6349
126,123.6349
127,123.6349
128,123.6349
129,123.6349
130,123.6349
131,123.6349
132,123.6349
133,123.6349
134,123.6349
135,123.6349
136,123.6349
137,123.6349
138,123.6349
139,123.6349
140,123.6349
141,123.6349
142,123.6349
143,123.6349
144,123.6349
145,123.6349
146,123.6349
147,123.6349
148,123.6349
149,123.6349
150,123.6349
151,123.6349
152,123.6349
153,123.6349
154,123.6349
155,123.6349
156,123.6349
157,123.6349
158,123.6349
159,123.6349
160,123.6349
161,123.6349
162,123.6349
163,123.6349
164,123.6349
165,123.6349
166,123.6349
167,123.6349
168,123.6349
169,123.6349
170,123.6349
171,123.6349
172,123.6349
173,123.6349
174,123.6349
175,123.6349
176,123.6349
177,123.6349
178,123.6349
179,123.6349
180,123.6349
181,123.6349
182,123.6349
183,123.6349
184,123.6349
185,123.6349
186,123.6349
187,123.6349
188,123.6349
189,123.6349
190,123.6349
191,123.6349
192,123.6349
193,123.6349
194,123.6349
195,123.6349
196,123.6349
197,123.6349
198,123.6349
199,123.6349
200,123.6349
201,123.6349
202,123.6349
203,123.6349
204,123.6349
205,123.6349
206,123.6349
207,123.6349
208,123.6349
209,123.6349
210,123.6349
211,123.6349
212,123.6349
213,123.6349
214,123.6349
215,123.6349
216,123.6349
217,123.6349
218,123.6349
219,123.6349
220,123.6349
221,123.6349
222,123.6349
223,123.6349
224,123.6349
225,123.6349
226,123.6349
227,123.6349
228,123.6349
229,123.6349
230,123.6349
231,123.6349
232,123.6349
233,123.6349
234,123.6349
235,123.6349
236,123.6349
237,123.6349
238,123.6349
239,123.6349
240,123.6349
241,123.6349
242,123.6349
243,123.6349
244,123.6349
245,123.6349
246,123.6349
247,123.6349
248,123.6349
249,123.6349
250,123.6349
251,123.6349
252,123.6349
253,123.6349
254,123.6349
255,123.6349
256,123.6349
257,123.6349
258,123.6349
259,123.6349
260,123.6349
261,123.6349
262,123.6349
263,123.6349
264,123.6349
265,123.6349
266,123.6349
267,123.6349
268,123.6349
269,123.6349
270,123.6349
271,123.6349
272,123.6349
273,123.6349
274,123.6349
275,123.6349
276,123.6349
277,123.6349
278,123.6349
279,123.6349
280,123.6349
281,123.6349
282,123.6349
283,123.6349
284,123.6349
285,123.6349
286,123.6349
287,123.6349
288,123.6349
289,123.3266
290,123.3266
291,123.3266
292,123.3266
293,123.3266
294,123.3266
295,123.3266
296,123.3266
297,123.3266
298,123.3266
299,123.3266
300,123.3266
301,123.3266
302,123.3266
303,123.3266
304,123.3266
305,123.3266
306,123.3266
307,123.3266
308,123.3266
309,123.3266
310,123.3266
311,123.3266
312,123.3266
313,123.3266
314,123.3266
315,123.3266
316,123.3266
317,123.3266
318,123.3266
319,123.3266
320,123.3266
321,123.3266
322,123.3266
323,123.3266
324,123.3266
325,123.3266
326,123.3266
327,123.3266
328,123.3266
329,123.3266
330,123.3266
331,123.3266
332,123.3266
333,123.3266
334,123.3266
335,123.3266
336,123.3266
337,123.3266
338,123.3266
339,123.3266
340,123.3266
341,123.3266
342,123.3266
343,123.3266
344,123.3266
345,123.3266
346,123.3266
347,123.3266
348,123.3266
349,123.3266
350,123.3266
351,123.3266
352,123.3266
353,123.3266
354,123.3266
355,123.3266
356,123.3266
357,123.3266
358,123.3266
359,123.3266
360,123.3266
361,123.3266
362,123.3266
363,123.3266
364,123.3266
365,123.3266
366,123.3266
367,123.3266
368,123.3266
369,123.3266
370,123.3266
371,123.3266
372,123.3266
373,123.3266
374,123.3266
375,123.3266
376,123.3266
377,123.3266
378,123.3266
379,123.3266
380,123.3266
381,123.3266
382,123.3266
383,123.3266
384,123.3266
385,123.3266
386,123.3266
387,123.3266
388,123.3266
389,123.3266
390,123.3266
391,123.3266
392,123.3266
393,123.3266
394,123.3266
395,123.3266
396,123.3266
397,123.3266
398,123.3266
399,123.3266
400,123.3266
401,123.3266
402,123.3266
403,123.3266
404,123.3266
405,123.3266
406,123.3266
407,123.3266
408,123.3266
409,123.3266
410,123.3266
411,123.3266
412,123.3266
413,123.3266
414,123.3266
415,123.3266
416,123.3266
417,123.3266
418,123.3266
419,123.3266
420,123.3266
421,123.3266
422,123.3266
423,123.3266
424,123.3266
425,123.3266
426,123.3266
427,123.3266
428,123.3266
429,123.3266
430,123.3266
431,123.3266
432,123.3266
433,123.3266
434,123.3266
435,123.3266
436,123.3266
437,123.3266
438,123.3266
439,123.3266
440,123.3266
441,123.3266
442,123.3266
443,123.3266
444,123.3266
445,123.3266
446,123.3266
447,123.3266
448,123.3266
449,123.3266
450,123.3266
451,123.3266
452,123.3266
453,123.3266
454,123.3266
455,123.3266
456,123.3266
457,123.3266
458,123.3266
459,123.3266
460,123.3266
461,123.3266
462,123.3266
463,123.3266
464,123.3266
465,123.3266
466,123.3266
467,123.3266
468,123.3266
469,123.3266
470,123.3266
471,123.3266
472,123.3266
473,123.3266
474,123.3266
475,123.3266
476,123.3266
477,123.3266
478,123.3266
479,123.3266
480,123.3266
481,123.3266
482,123.3266
483,123.3266
484,123.3266
485,123.3266
486,123.3266
487,123.3266
488,123.3266
489,123.3266
490,123.3266
491,123.3266
492,123.3266
493,123.3266
494,123.3266
495,123.3266
496,123.3266
497,123.3266
498,123.3266
499,123.3266
500,123.3266
501,123.3266
502,123.3266
503,123.3266
504,123.3266
505,123.3266
506,123.3266
507,123.3266
508,123.3266
509,123.3266
510,123.3266
511,123.3266
