GENERATION_PROJECT,timepoint_id,ppa_price
Rooftop_PV-2020_PPA,1,170.0
Rooftop_PV-2020_PPA,2,170.0
Rooftop_PV-2020_PPA,3,170.0
Rooftop_PV-2020_PPA,4,170.0
Rooftop_PV-2020_PPA,5,170.0
Rooftop_PV-2020_PPA,6,170.0
Rooftop_PV-2020_PPA,7,170.0
Rooftop_PV-2020_PPA,8,170.0
Rooftop_PV-2020_PPA,9,170.0
Rooftop_PV-2020_PPA,10,170.0
Rooftop_PV-2020_PPA,11,170.0
Rooftop_PV-2020_PPA,12,170.0
Rooftop_PV-2020_PPA,13,170.0
Rooftop_PV-2020_PPA,14,170.0
Rooftop_PV-2020_PPA,15,170.0
Rooftop_PV-2020_PPA,16,170.0
Rooftop_PV-2020_PPA,17,170.0
Rooftop_PV-2020_PPA,18,170.0
Rooftop_PV-2020_PPA,19,170.0
Rooftop_PV-2020_PPA,20,170.0
Rooftop_PV-2020_PPA,21,170.0
Rooftop_PV-2020_PPA,22,170.0
Rooftop_PV-2020_PPA,23,170.0
Rooftop_PV-2020_PPA,24,170.0
Rooftop_PV-2020_PPA,25,170.0
Rooftop_PV-2020_PPA,26,170.0
Rooftop_PV-2020_PPA,27,170.0
Rooftop_PV-2020_PPA,28,170.0
Rooftop_PV-2020_PPA,29,170.0
Rooftop_PV-2020_PPA,30,170.0
Rooftop_PV-2020_PPA,31,170.0
Rooftop_PV-2020_PPA,32,170.0
Rooftop_PV-2020_PPA,33,170.0
Rooftop_PV-2020_PPA,34,170.0
Rooftop_PV-2020_PPA,35,170.0
Rooftop_PV-2020_PPA,36,170.0
Rooftop_PV-2020_PPA,37,170.0
Rooftop_PV-2020_PPA,38,170.0
Rooftop_PV-2020_PPA,39,170.0
Rooftop_PV-2020_PPA,40,170.0
Rooftop_PV-2020_PPA,41,170.0
Rooftop_PV-2020_PPA,42,170.0
Rooftop_PV-2020_PPA,43,170.0
Rooftop_PV-2020_PPA,44,170.0
Rooftop_PV-2020_PPA,45,170.0
Rooftop_PV-2020_PPA,46,170.0
Rooftop_PV-2020_PPA,47,170.0
Rooftop_PV-2020_PPA,48,170.0
Rooftop_PV-2020_PPA,49,170.0
Rooftop_PV-2020_PPA,50,170.0
Rooftop_PV-2020_PPA,51,170.0
Rooftop_PV-2020_PPA,52,170.0
Rooftop_PV-2020_PPA,53,170.0
Rooftop_PV-2020_PPA,54,170.0
Rooftop_PV-2020_PPA,55,170.0
Rooftop_PV-2020_PPA,56,170.0
Rooftop_PV-2020_PPA,57,170.0
Rooftop_PV-2020_PPA,58,170.0
Rooftop_PV-2020_PPA,59,170.0
Rooftop_PV-2020_PPA,60,170.0
Rooftop_PV-2020_PPA,61,170.0
Rooftop_PV-2020_PPA,62,170.0
Rooftop_PV-2020_PPA,63,170.0
Rooftop_PV-2020_PPA,64,170.0
Rooftop_PV-2020_PPA,65,170.0
Rooftop_PV-2020_PPA,66,170.0
Rooftop_PV-2020_PPA,67,170.0
Rooftop_PV-2020_PPA,68,170.0
Rooftop_PV-2020_PPA,69,170.0
Rooftop_PV-2020_PPA,70,170.0
Rooftop_PV-2020_PPA,71,170.0
Rooftop_PV-2020_PPA,72,170.0
Rooftop_PV-2020_PPA,73,170.0
Rooftop_PV-2020_PPA,74,170.0
Rooftop_PV-2020_PPA,75,170.0
Rooftop_PV-2020_PPA,76,170.0
Rooftop_PV-2020_PPA,77,170.0
Rooftop_PV-2020_PPA,78,170.0
Rooftop_PV-2020_PPA,79,170.0
Rooftop_PV-2020_PPA,80,170.0
Rooftop_PV-2020_PPA,81,170.0
Rooftop_PV-2020_PPA,82,170.0
Rooftop_PV-2020_PPA,83,170.0
Rooftop_PV-2020_PPA,84,170.0
