timepoint_id,nonenergy_price
1,57.7
2,57.7
3,57.7
4,57.7
5,57.7
6,57.7
7,57.7
8,57.7
9,57.7
10,57.7
11,57.7
12,57.7
13,57.7
14,57.7
15,57.7
16,57.7
17,57.7
18,57.7
19,57.7
20,57.7
21,57.7
22,57.7
23,57.7
24,57.7
25,57.7
26,57.7
27,57.7
28,57.7
29,57.7
30,57.7
31,57.7
32,57.7
33,57.7
34,57.7
35,57.7
36,57.7
37,57.7
38,57.7
39,57.7
40,57.7
41,57.7
42,57.7
43,57.7
44,57.7
45,57.7
46,57.7
47,57.7
48,57.7
49,57.7
50,57.7
51,57.7
52,57.7
53,57.7
54,57.7
55,57.7
56,57.7
57,57.7
58,57.7
59,57.7
60,57.7
61,57.7
62,57.7
63,57.7
64,57.7
65,57.7
66,57.7
67,57.7
68,57.7
69,57.7
70,57.7
71,57.7
72,57.7
73,57.7
74,57.7
75,57.7
76,57.7
77,57.7
78,57.7
79,57.7
80,57.7
81,57.7
82,57.7
83,57.7
84,57.7
85,57.7
86,57.7
87,57.7
88,57.7
89,57.7
90,57.7
91,57.7
92,57.7
93,57.7
94,57.7
95,57.7
96,57.7
97,57.7
98,57.7
99,57.7
100,57.7
101,57.7
102,57.7
103,57.7
104,57.7
105,57.7
106,57.7
107,57.7
108,57.7
109,57.7
110,57.7
111,57.7
112,57.7
113,57.7
114,57.7
115,57.7
116,57.7
117,57.7
118,57.7
119,57.7
120,57.7
121,57.7
122,57.7
123,57.7
124,57.7
125,57.7
126,57.7
127,57.7
128,57.7
129,57.7
130,57.7
131,57.7
132,57.7
133,57.7
134,57.7
135,57.7
136,57.7
137,57.7
138,57.7
139,57.7
140,57.7
141,57.7
142,57.7
143,57.7
144,57.7
145,57.7
146,57.7
147,57.7
148,57.7
149,57.7
150,57.7
151,57.7
152,57.7
153,57.7
154,57.7
155,57.7
156,57.7
157,57.7
158,57.7
159,57.7
160,57.7
161,57.7
162,57.7
163,57.7
164,57.7
165,57.7
166,57.7
167,57.7
168,57.7
169,57.7
170,57.7
171,57.7
172,57.7
173,57.7
174,57.7
175,57.7
176,57.7
177,57.7
178,57.7
179,57.7
180,57.7
181,57.7
182,57.7
183,57.7
184,57.7
185,57.7
186,57.7
187,57.7
188,57.7
189,57.7
190,57.7
191,57.7
192,57.7
193,57.7
194,57.7
195,57.7
196,57.7
197,57.7
198,57.7
199,57.7
200,57.7
201,57.7
202,57.7
203,57.7
204,57.7
205,57.7
206,57.7
207,57.7
208,57.7
209,57.7
210,57.7
211,57.7
212,57.7
213,57.7
214,57.7
215,57.7
216,57.7
217,57.7
218,57.7
219,57.7
220,57.7
221,57.7
222,57.7
223,57.7
224,57.7
225,57.7
226,57.7
227,57.7
228,57.7
229,57.7
230,57.7
231,57.7
232,57.7
233,57.7
234,57.7
235,57.7
236,57.7
237,57.7
238,57.7
239,57.7
240,57.7
241,57.7
242,57.7
243,57.7
244,57.7
245,57.7
246,57.7
247,57.7
248,57.7
249,57.7
250,57.7
251,57.7
252,57.7
253,57.7
254,57.7
255,57.7
256,57.7
257,57.7
258,57.7
259,57.7
260,57.7
261,57.7
262,57.7
263,57.7
264,57.7
265,57.7
266,57.7
267,57.7
268,57.7
269,57.7
270,57.7
271,57.7
272,57.7
273,57.7
274,57.7
275,57.7
276,57.7
277,57.7
278,57.7
279,57.7
280,57.7
281,57.7
282,57.7
283,57.7
284,57.7
285,57.7
286,57.7
287,57.7
288,57.7
289,57.7
290,57.7
291,57.7
292,57.7
293,57.7
294,57.7
295,57.7
296,57.7
297,57.7
298,57.7
299,57.7
300,57.7
301,57.7
302,57.7
303,57.7
304,57.7
305,57.7
306,57.7
307,57.7
308,57.7
309,57.7
310,57.7
311,57.7
312,57.7
313,57.7
314,57.7
315,57.7
316,57.7
317,57.7
318,57.7
319,57.7
320,57.7
321,57.7
322,57.7
323,57.7
324,57.7
325,57.7
326,57.7
327,57.7
328,57.7
329,57.7
330,57.7
331,57.7
332,57.7
333,57.7
334,57.7
335,57.7
336,57.7
337,57.7
338,57.7
339,57.7
340,57.7
341,57.7
342,57.7
343,57.7
344,57.7
345,57.7
346,57.7
347,57.7
348,57.7
349,57.7
350,57.7
351,57.7
352,57.7
353,57.7
354,57.7
355,57.7
356,57.7
357,57.7
358,57.7
359,57.7
360,57.7
361,57.7
362,57.7
363,57.7
364,57.7
365,57.7
366,57.7
367,57.7
368,57.7
369,57.7
370,57.7
371,57.7
372,57.7
