timepoint_id,annual_credit
1,111.4262
2,111.4262
3,111.4262
4,111.4262
5,111.4262
6,111.4262
7,111.4262
8,111.4262
9,111.4262
10,111.4262
11,111.4262
12,111.4262
13,111.4262
14,111.4262
15,111.4262
16,111.4262
17,111.4262
18,111.4262
19,111.4262
20,111.4262
21,111.4262
22,111.4262
23,111.4262
24,111.4262
25,111.4262
26,111.4262
27,111.4262
28,111.4262
29,111.4262
30,111.4262
31,111.4262
32,111.4262
33,111.4262
34,111.4262
35,111.4262
36,111.4262
37,111.4262
38,111.4262
39,111.4262
40,111.4262
41,111.4262
42,111.4262
43,111.4262
44,111.4262
45,111.4262
46,111.4262
47,111.4262
48,111.4262
49,111.4262
50,111.4262
51,111.4262
52,111.4262
53,111.4262
54,111.4262
55,111.4262
56,111.4262
57,111.4262
58,111.4262
59,111.4262
60,111.4262
61,111.4262
62,111.4262
63,111.4262
64,111.4262
65,111.4262
66,111.4262
67,111.4262
68,111.4262
69,111.4262
70,111.4262
71,111.4262
72,111.4262
73,111.4262
74,111.4262
75,111.4262
76,111.4262
77,111.4262
78,111.4262
79,111.4262
80,111.4262
81,111.4262
82,111.4262
83,111.4262
84,111.4262
85,111.4262
86,111.4262
87,111.4262
88,111.4262
89,111.4262
90,111.4262
91,111.4262
92,111.4262
93,111.4262
94,111.4262
95,111.4262
96,111.4262
97,111.4262
98,111.4262
99,111.4262
100,111.4262
101,111.4262
102,111.4262
103,111.4262
104,111.4262
105,111.4262
106,111.4262
107,111.4262
108,111.4262
109,111.4262
110,111.4262
111,111.4262
112,111.4262
113,111.4262
114,111.4262
115,111.4262
116,111.4262
117,111.4262
118,111.4262
119,111.4262
120,111.4262
121,111.4262
122,111.4262
123,111.4262
124,111.4262
125,111.4262
126,111.4262
127,111.4262
128,111.4262
129,111.4262
130,111.4262
131,111.4262
132,111.4262
133,111.4262
134,111.4262
135,111.4262
136,111.4262
137,111.4262
138,111.4262
139,111.4262
140,111.4262
141,111.4262
142,111.4262
143,111.4262
144,111.4262
145,111.4262
146,111.4262
147,111.4262
148,111.4262
149,111.4262
150,111.4262
151,111.4262
152,111.4262
153,111.4262
154,111.4262
155,111.4262
156,111.4262
157,111.4262
158,111.4262
159,111.4262
160,111.4262
161,111.4262
162,111.4262
163,111.4262
164,111.4262
165,111.4262
166,111.4262
167,111.4262
168,111.4262
169,111.4262
170,111.4262
171,111.4262
172,111.4262
173,111.4262
174,111.4262
175,111.4262
176,111.4262
177,111.4262
178,111.4262
179,111.4262
180,111.4262
181,111.4262
182,111.4262
183,111.4262
184,111.4262
185,111.4262
186,111.4262
187,111.4262
188,111.4262
189,111.4262
190,111.4262
191,111.4262
192,111.4262
193,111.4262
194,111.4262
195,111.4262
196,111.4262
197,111.4262
198,111.4262
199,111.4262
200,111.4262
201,111.4262
202,111.4262
203,111.4262
204,111.4262
205,111.4262
206,111.4262
207,111.4262
208,111.4262
209,111.4262
210,111.4262
211,111.4262
212,111.4262
213,111.4262
214,111.4262
215,111.4262
216,111.4262
217,111.4262
218,111.4262
219,111.4262
220,111.4262
221,111.4262
222,111.4262
223,111.4262
224,111.4262
225,111.4262
226,111.4262
227,111.4262
228,111.4262
229,111.4262
230,111.4262
231,111.4262
232,111.4262
233,111.4262
234,111.4262
235,111.4262
236,111.4262
237,111.4262
238,111.4262
239,111.4262
240,111.4262
241,111.4262
242,111.4262
243,111.4262
244,111.4262
245,111.4262
246,111.4262
247,111.4262
248,111.4262
249,111.4262
250,111.4262
251,111.4262
252,111.4262
253,111.4262
254,111.4262
255,111.4262
256,111.4262
257,111.4262
258,111.4262
259,111.4262
260,111.4262
261,111.4262
262,111.4262
263,111.4262
264,111.4262
265,111.4262
266,111.4262
267,111.4262
268,111.4262
269,111.4262
270,111.4262
271,111.4262
272,111.4262
273,111.4262
274,111.4262
275,111.4262
276,111.4262
277,111.4262
278,111.4262
279,111.4262
280,111.4262
281,111.4262
282,111.4262
283,111.4262
284,111.4262
285,111.4262
286,111.4262
287,111.4262
288,111.4262
289,109.3902
290,109.3902
291,109.3902
292,109.3902
293,109.3902
294,109.3902
295,109.3902
296,109.3902
297,109.3902
298,109.3902
299,109.3902
300,109.3902
301,109.3902
302,109.3902
303,109.3902
304,109.3902
305,109.3902
306,109.3902
307,109.3902
308,109.3902
309,109.3902
310,109.3902
311,109.3902
312,109.3902
313,109.3902
314,109.3902
315,109.3902
316,109.3902
317,109.3902
318,109.3902
319,109.3902
320,109.3902
321,109.3902
322,109.3902
323,109.3902
324,109.3902
325,109.3902
326,109.3902
327,109.3902
328,109.3902
329,109.3902
330,109.3902
331,109.3902
332,109.3902
333,109.3902
334,109.3902
335,109.3902
336,109.3902
337,109.3902
338,109.3902
339,109.3902
340,109.3902
341,109.3902
342,109.3902
343,109.3902
344,109.3902
345,109.3902
346,109.3902
347,109.3902
348,109.3902
349,109.3902
350,109.3902
351,109.3902
352,109.3902
353,109.3902
354,109.3902
355,109.3902
356,109.3902
357,109.3902
358,109.3902
359,109.3902
360,109.3902
361,109.3902
362,109.3902
363,109.3902
364,109.3902
365,109.3902
366,109.3902
367,109.3902
368,109.3902
369,109.3902
370,109.3902
371,109.3902
372,109.3902
373,109.3902
374,109.3902
375,109.3902
376,109.3902
377,109.3902
378,109.3902
379,109.3902
380,109.3902
381,109.3902
382,109.3902
383,109.3902
384,109.3902
385,109.3902
386,109.3902
387,109.3902
388,109.3902
389,109.3902
390,109.3902
391,109.3902
392,109.3902
393,109.3902
394,109.3902
395,109.3902
396,109.3902
397,109.3902
398,109.3902
399,109.3902
400,109.3902
401,109.3902
402,109.3902
403,109.3902
404,109.3902
405,109.3902
406,109.3902
407,109.3902
408,109.3902
409,109.3902
410,109.3902
411,109.3902
412,109.3902
413,109.3902
414,109.3902
415,109.3902
416,109.3902
417,109.3902
418,109.3902
419,109.3902
420,109.3902
421,109.3902
422,109.3902
423,109.3902
424,109.3902
425,109.3902
426,109.3902
427,109.3902
428,109.3902
429,109.3902
430,109.3902
431,109.3902
