LOAD_ZONE,TIMEPOINT,zone_demand_mw
Manoa,267,14.4619
Manoa,268,14.2898
Manoa,269,14.0573
Manoa,270,13.8197
Manoa,271,13.6541
Manoa,272,13.5367
Manoa,273,13.4244
Manoa,274,13.2869
Manoa,275,13.0198
Manoa,276,12.8988
Manoa,277,12.803
Manoa,278,12.5784
Manoa,279,12.3084
Manoa,280,12.2062
Manoa,281,12.1241
Manoa,282,11.6309
Manoa,283,11.3458
Manoa,284,11.1888
Manoa,285,11.1002
Manoa,286,11.0081
Manoa,287,10.9058
Manoa,288,10.8677
Manoa,289,10.6826
Manoa,290,10.3795
Manoa,291,10.1304
Manoa,292,9.977
Manoa,293,9.9612
Manoa,294,9.8561
Manoa,295,9.517
Manoa,296,9.5674
Manoa,297,9.4824
Manoa,298,9.4774
Manoa,299,9.468
Manoa,300,9.3557
Manoa,301,9.401
Manoa,302,9.3168
Manoa,303,9.283
Manoa,304,9.3197
Manoa,305,9.2585
Manoa,306,9.4313
Manoa,307,9.3787
Manoa,308,9.3204
Manoa,309,9.3859
Manoa,310,9.5141
Manoa,311,9.8143
Manoa,312,9.9396
Manoa,313,9.8971
Manoa,314,10.0922
Manoa,315,10.1419
Manoa,316,10.1974
Manoa,317,10.0562
Manoa,318,9.8165
Manoa,319,9.8237
Manoa,320,9.7567
Manoa,321,9.7654
Manoa,322,9.9583
Manoa,323,10.067
Manoa,324,10.1038
Manoa,325,10.2506
Manoa,326,10.2859
Manoa,327,10.3824
Manoa,328,10.489
Manoa,329,10.5746
Manoa,330,10.4335
Manoa,331,10.391
Manoa,332,10.6726
Manoa,333,10.6805
Manoa,334,10.6805
Manoa,335,10.8022
Manoa,336,10.867
Manoa,337,10.8619
Manoa,338,10.9382
Manoa,339,11.0347
Manoa,340,11.0887
Manoa,341,11.1269
Manoa,342,11.1154
Manoa,343,11.0902
Manoa,344,11.1391
Manoa,345,11.268
Manoa,346,11.2723
Manoa,347,11.2867
Manoa,348,11.3501
Manoa,349,11.3191
Manoa,350,11.2241
Manoa,351,11.1996
Manoa,352,11.1362
Manoa,353,11.0448
Manoa,354,11.0124
Manoa,355,11.0585
Manoa,356,11.0232
Manoa,357,10.9728
Manoa,358,10.9418
Manoa,359,10.949
Manoa,360,10.9786
Manoa,361,11.2176
Manoa,362,11.3004
Manoa,363,11.3076
Manoa,364,11.4257
Manoa,365,11.3702
Manoa,366,11.3774
Manoa,367,11.4228
Manoa,368,11.3544
Manoa,369,11.3746
Manoa,370,11.3832
Manoa,371,11.3566
Manoa,372,11.3191
Manoa,373,11.273
Manoa,374,11.039
Manoa,375,11.0938
Manoa,376,11.0664
Manoa,377,10.9678
Manoa,378,11.0009
Manoa,379,10.8835
Manoa,380,10.8742
Manoa,381,10.7201
Manoa,382,10.5818
Manoa,383,10.5818
Manoa,384,10.4674
Manoa,385,11.124
Manoa,386,10.8619
Manoa,387,10.607
Manoa,388,10.3954
Manoa,389,10.309
Manoa,390,10.2514
Manoa,391,10.2146
Manoa,392,10.1822
Manoa,393,10.1074
Manoa,394,10.1189
Manoa,395,10.0649
Manoa,396,10.0404
Manoa,397,10.0044
Manoa,398,10.0073
Manoa,399,9.9727
Manoa,400,9.9662
Manoa,401,10.0202
Manoa,402,10.0836
Manoa,403,10.0879
Manoa,404,10.0015
Manoa,405,10.1182
Manoa,406,10.5948
Manoa,407,11.088
Manoa,408,11.5812
Manoa,409,11.6352
Manoa,410,12.8189
Manoa,411,13.5194
Manoa,412,13.5072
Manoa,413,13.5583
Manoa,414,13.6829
Manoa,415,13.8233
Manoa,416,13.9615
Manoa,417,14.1977
Manoa,418,14.4346
Manoa,419,14.6974
Manoa,420,15.0746
Manoa,421,15.3727
Manoa,422,15.5714
Manoa,423,15.8623
Manoa,424,16.0978
Manoa,425,16.3289
Manoa,426,16.5247
Manoa,427,16.6514
Manoa,428,16.6997
Manoa,429,16.8077
Manoa,430,16.9135
Manoa,431,17.1007
Manoa,432,17.1994
Manoa,433,17.1677
Manoa,434,17.1727
Manoa,435,17.1144
Manoa,436,17.0604
Manoa,437,17.1713
Manoa,438,17.3383
Manoa,439,17.4953
Manoa,440,17.4564
Manoa,441,17.4636
Manoa,442,17.581
Manoa,443,17.5514
Manoa,444,17.4989
Manoa,445,17.4478
Manoa,446,17.4852
Manoa,447,17.3765
Manoa,448,17.208
Manoa,449,17.1547
Manoa,450,16.9776
Manoa,451,16.7962
Manoa,452,16.5578
Manoa,453,16.3296
Manoa,454,16.0121
Manoa,455,15.9278
Manoa,456,15.8746
Manoa,457,15.8566
Manoa,458,15.6938
Manoa,459,15.4706
Manoa,460,15.3605
Manoa,461,15.2575
Manoa,462,15.0005
Manoa,463,14.6916
Manoa,464,14.6002
Manoa,465,14.4295
Manoa,466,14.323
Manoa,467,14.0731
Manoa,468,13.9003
Manoa,469,13.6858
Manoa,470,13.4006
Manoa,471,13.1796
Manoa,472,12.9938
Manoa,473,12.8239
Manoa,474,12.5647
Manoa,475,12.2321
Manoa,476,12.1003
Manoa,477,11.9498
Manoa,478,11.749
Manoa,479,11.5891
Manoa,480,11.4833
Manoa,481,10.8518
Manoa,482,10.5386
Manoa,483,10.2334
Manoa,484,10.1894
Manoa,485,10.1722
Manoa,486,10.0656
Manoa,487,9.931
Manoa,488,9.9094
Manoa,489,9.8575
Manoa,490,9.7841
Manoa,491,9.7214
Manoa,492,9.6761
Manoa,493,9.6941
Manoa,494,9.607
Manoa,495,9.571
Manoa,496,9.5602
Manoa,497,9.5767
Manoa,498,9.617
Manoa,499,9.6206
Manoa,500,9.5638
Manoa,501,9.7042
Manoa,502,10.0181
Manoa,503,10.6229
Manoa,504,10.9433
Manoa,505,11.1535
Manoa,506,12.245
Manoa,507,12.9737
Manoa,508,13.037
Manoa,509,13.1933
Manoa,510,13.2437
Manoa,511,13.3229
Manoa,512,13.5425
Manoa,513,13.7009
Manoa,514,14.1466
Manoa,515,14.3964
Manoa,516,14.6167
Manoa,517,14.9033
Manoa,518,15.0242
Manoa,519,15.133
Manoa,520,15.2561
Manoa,521,15.359
Manoa,522,15.4044
Manoa,523,15.6478
Manoa,524,15.6881
Manoa,525,15.5844
Manoa,526,15.7334
Manoa,527,15.5484
Manoa,528,15.7594
Manoa,529,15.9509
Manoa,530,15.8998
Manoa,531,15.8256
Manoa,532,16.0762
Manoa,533,16.0668
Manoa,534,16.051
Manoa,535,16.0913
Manoa,536,16.0445
Manoa,537,16.0524
Manoa,538,16.0826
Manoa,539,16.043
Manoa,540,16.0704
Manoa,541,16.0373
Manoa,542,15.9833
Manoa,543,15.971
Manoa,544,15.7774
Manoa,545,15.6269
Manoa,546,15.4058
Manoa,547,15.2525
Manoa,548,15.0566
Manoa,549,14.8572
Manoa,550,14.395
Manoa,551,14.0875
Manoa,552,14.081
Manoa,553,14.1667
Manoa,554,14.1178
Manoa,555,14.0566
Manoa,556,13.9745
Manoa,557,13.9126
Manoa,558,13.6483
Manoa,559,13.3596
Manoa,560,13.1638
Manoa,561,13.1278
Manoa,562,12.9521
Manoa,563,12.4646
Manoa,564,12.4978
Manoa,565,12.3408
Manoa,566,12.0017
Manoa,567,11.8332
Manoa,568,11.8123
Manoa,569,11.7158
Manoa,570,11.3724
Manoa,571,11.2018
Manoa,572,11.111
Manoa,573,10.9066
Manoa,574,10.7474
Manoa,575,10.7273
Manoa,576,10.7294
Manoa,577,11.4818
Manoa,578,11.0016
Manoa,579,10.7028
Manoa,580,10.5257
Manoa,581,10.5336
Manoa,582,10.4242
Manoa,583,10.3586
Manoa,584,10.2881
Manoa,585,10.2521
