YearMonth,year,time,TotalEbill,EnergyCharge,NonEnergyCharge,AmortizedCost,DemandCharges,PPACost
202403,2024,3/1/24,1659581.667,836535,560460,0,262586.6667,0
202404,2024,4/1/24,1990436.667,1025210,702640,0,262586.6667,0
202405,2024,5/1/24,1984171.667,1025745,695840,0,262586.6667,0
202406,2024,6/1/24,1954576.667,1015840,676150,0,262586.6667,0
202407,2024,7/1/24,1987726.667,1038665,686475,0,262586.6667,0
202408,2024,8/1/24,1844756.667,951715,630455,0,262586.6667,0
202409,2024,9/1/24,1912586.667,992175,657825,0,262586.6667,0
202410,2024,10/1/24,1942756.667,1010245,669925,0,262586.6667,0
202411,2024,11/1/24,1890666.667,979875,648205,0,262586.6667,0
202412,2024,12/1/24,1768376.667,905195,600595,0,262586.6667,0
202501,2025,1/1/25,1794409,868833,649691,0,275885,0
202502,2025,2/1/25,1794042.5,862137,656020.5,0,275885,0
202503,2025,3/1/25,1718194.5,824618.5,617691,0,275885,0
202504,2025,4/1/25,1931194.5,938616,716693.5,0,275885,0
202505,2025,5/1/25,1946789,951706.5,719197.5,0,275885,0
202506,2025,6/1/25,1955305.5,964643,714777.5,0,275885,0
202507,2025,7/1/25,1927144.5,954098,697161.5,0,275885,0
202508,2025,8/1/25,1945739,965172,704682,0,275885,0
202509,2025,9/1/25,2009375.5,1000483.5,733007,0,275885,0
202510,2025,10/1/25,2033025.5,1014200,742940.5,0,275885,0
202511,2025,11/1/25,1937134.5,956575.5,704674,0,275885,0
202512,2025,12/1/25,1927600,950117,701598,0,275885,0
202601,2026,1/1/26,2013380,972715,764780,0,275885,0
202602,2026,2/1/26,1886240,894200,716155,0,275885,0
202603,2026,3/1/26,1682485,786710,619890,0,275885,0
202604,2026,4/1/26,2021260,968225,777150,0,275885,0
202605,2026,5/1/26,2014265,968755,769625,0,275885,0
202606,2026,6/1/26,1983685,959955,747845,0,275885,0
202607,2026,7/1/26,2024355,989200,759270,0,275885,0
202608,2026,8/1/26,1882830,909640,697305,0,275885,0
202609,2026,9/1/26,1948955,945490,727580,0,275885,0
202610,2026,10/1/26,1979920,963070,740965,0,275885,0
202611,2026,11/1/26,1918385,925560,716940,0,275885,0
202612,2026,12/1/26,1795780,855610,664285,0,275885,0
202701,2027,1/1/27,2038550,966315,796350,0,275885,0
202702,2027,2/1/27,1909000,887400,745715,0,275885,0
202703,2027,3/1/27,1702540,781180,645475,0,275885,0
202704,2027,4/1/27,2047195,962080,809230,0,275885,0
202705,2027,5/1/27,2039800,962525,801390,0,275885,0
202706,2027,6/1/27,2008295,953695,778715,0,275885,0
202707,2027,7/1/27,2050125,983630,790610,0,275885,0
202708,2027,8/1/27,1906920,904945,726090,0,275885,0
202709,2027,9/1/27,1973765,940265,757615,0,275885,0
202710,2027,10/1/27,2005220,957785,771550,0,275885,0
202711,2027,11/1/27,1941840,919420,746535,0,275885,0
202712,2027,12/1/27,1817605,850015,691705,0,275885,0
202801,2028,1/1/28,2065810,959970,829955,0,275885,0
202802,2028,2/1/28,1933730,880660,777185,0,275885,0
202803,2028,3/1/28,1724300,775700,672715,0,275885,0
202804,2028,4/1/28,2075240,955980,843375,0,275885,0
202805,2028,5/1/28,2067445,956350,835210,0,275885,0
202806,2028,6/1/28,2034965,947500,811580,0,275885,0
202807,2028,7/1/28,2077970,978110,823975,0,275885,0
202808,2028,8/1/28,1932905,900290,756730,0,275885,0
202809,2028,9/1/28,2000550,935080,789585,0,275885,0
202810,2028,10/1/28,2032540,952545,804110,0,275885,0
202811,2028,11/1/28,1967260,913340,778035,0,275885,0
202812,2028,12/1/28,1841255,844475,720895,0,275885,0
202901,2029,1/1/29,2093120,953675,863560,0,275885,0
202902,2029,2/1/29,1958520,873980,808655,0,275885,0
202903,2029,3/1/29,1746115,770275,699955,0,275885,0
202904,2029,4/1/29,2103340,949930,877525,0,275885,0
202905,2029,5/1/29,2095135,950220,869030,0,275885,0
202906,2029,6/1/29,2061680,941355,844440,0,275885,0
202907,2029,7/1/29,2105860,972640,857335,0,275885,0
202908,2029,8/1/29,1958930,895675,787370,0,275885,0
202909,2029,9/1/29,2027380,929940,821555,0,275885,0
202910,2029,10/1/29,2059900,947350,836665,0,275885,0
202911,2029,11/1/29,1992740,907315,809540,0,275885,0
202912,2029,12/1/29,1864950,838980,750085,0,275885,0
203001,2030,1/1/30,1903681,795670,815051,0,292960,0
203002,2030,2/1/30,1893566,777615,822991,0,292960,0
203003,2030,3/1/30,1818222.5,750356.5,774906,0,292960,0
203004,2030,4/1/30,2052069,860002,899107,0,292960,0
203005,2030,5/1/30,2067150.5,871943,902247.5,0,292960,0
203006,2030,6/1/30,2074138.5,884476,896702.5,0,292960,0
203007,2030,7/1/30,2053210.5,885648,874602.5,0,292960,0
203008,2030,8/1/30,2078044.5,901047,884037.5,0,292960,0
203009,2030,9/1/30,2142144,929612,919572,0,292960,0
203010,2030,10/1/30,2167859.5,942865.5,932034,0,292960,0
203011,2030,11/1/30,2053327,876340,884027,0,292960,0
203012,2030,12/1/30,2044458.5,871330,880168.5,0,292960,0
203101,2031,1/1/31,2142255,890010,959285,0,292960,0
203102,2031,2/1/31,1996930,805680,898290,0,292960,0
203103,2031,3/1/31,1785735,715230,777545,0,292960,0
203104,2031,4/1/31,2154105,886345,974800,0,292960,0
