PERIOD,EnergyCostReal_per_MWh,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,SystemDemand_MWh
2020,38.671954705707456,91663118.96991313,22527127.55112066,582518.461312636
2025,41.80676209957604,85478898.24603005,24353210.730708465,582518.461312636
2030,45.24811506208682,79804384.30896184,26357862.363263924,582518.461312636
2035,49.526037364525315,75348344.82997,28849831.080495406,582518.461312636
