timeseries	Rooftop_PV-0	Rooftop_PV-2020	Rooftop_PV-2020_PPA
203106	8.49619	0	0
203107	7.80869	0	0
203108	8.34332	0	0
203109	6.46758	0	0
203110	4.58944	0	0
203111	3.67881	0	0
203112	5.82573	0	0
203201	5.90151	0	0
203202	2.3196	0	0
203203	4.32841	0	0
203204	7.06726	0	0
203205	6.64283	0	0
203206	8.49619	0	0
203207	7.80869	0	0
203208	8.34332	0	0
203209	6.46758	0	0
203210	4.58944	0	0
203211	3.67881	0	0
203212	5.82573	0	0
203301	5.90151	0	0
203302	2.3196	0	0
203303	4.32841	0	0
203304	7.06726	0	0
203305	6.64283	0	0
203306	8.49619	0	0
203307	7.80869	0	0
203308	8.34332	0	0
203309	6.46758	0	0
203310	4.58944	0	0
203311	3.67881	0	0
203312	5.82573	0	0
203401	5.90151	0	0
203402	2.3196	0	0
203403	4.32841	0	0
203404	7.06726	0	0
203405	6.64283	0	0
203406	8.49619	0	0
203407	7.80869	0	0
203408	8.34332	0	0
203409	6.46758	0	0
203410	4.58944	0	0
203411	3.67881	0	0
203412	5.82573	0	0
203501	0	0	0
203501	0	0	0
203501	0	0	0
203502	0	0	0
203502	0	0	0
203502	0	0	0
203503	0	0	0
203503	0	0	0
203503	0	0	0
203504	0	0	0
203504	0	0	0
203504	0	0	0
203505	0	0	0
203505	0	0	0
203505	0	0	0
203506	0	0	0
203506	0	0	0
203506	0	0	0
203507	0	0	0
203507	0	0	0
203507	0	0	0
203508	0	0	0
203508	0	0	0
203508	0	0	0
203509	0	0	0
203509	0	0	0
203509	0	0	0
203510	0	0	0
203510	0	0	0
203510	0	0	0
203511	0	0	0
203511	0	0	0
203511	0	0	0
203512	0	0	0
203512	0	0	0
203512	0	0	0
203601	0	0	0
203602	0	0	0
203603	0	0	0
203604	0	0	0
203605	0	0	0
203606	0	0	0
203607	0	0	0
203608	0	0	0
203609	0	0	0
203610	0	0	0
203611	0	0	0
203612	0	0	0
203701	0	0	0
203702	0	0	0
203703	0	0	0
203704	0	0	0
203705	0	0	0
203706	0	0	0
203707	0	0	0
203708	0	0	0
203709	0	0	0
203710	0	0	0
203711	0	0	0
203712	0	0	0
203801	0	0	0
203802	0	0	0
203803	0	0	0
203804	0	0	0
203805	0	0	0
203806	0	0	0
203807	0	0	0
203808	0	0	0
203809	0	0	0
203810	0	0	0
203811	0	0	0
203812	0	0	0
203901	0	0	0
203902	0	0	0
203903	0	0	0
203904	0	0	0
203905	0	0	0
203906	0	0	0
203907	0	0	0
203908	0	0	0
203909	0	0	0
203910	0	0	0
203911	0	0	0
203912	0	0	0
