timestamp	GenVariableOMCostsInTP	FuelCostsPerTP	PurchasedPowerCost	NonEnergyCharge
20200109	0	0	840.173	401.891
20200109	0	0	829.436	396.755
20200109	0	0	818.983	391.755
20200109	0	0	809.344	387.145
20200109	0	0	802.39	383.818
20200109	0	0	796.167	380.841
20200109	0	0	787.545	376.717
20200109	0	0	777.499	371.912
20200109	0	0	773.595	370.044
20200109	0	0	766.233	366.523
20200109	0	0	746.142	356.912
20200109	0	0	738.862	353.43
20200109	0	0	732.436	350.356
20200109	0	0	719.503	344.17
20200109	0	0	696.321	333.081
20200109	0	0	674.033	322.419
20200109	0	0	666.143	318.645
20200109	0	0	658.009	314.754
20200109	0	0	650.322	311.077
20200109	0	0	641.985	307.089
20200109	0	0	637.877	305.124
20200116	0	0	585.697	280.164
20200116	0	0	565.158	270.34
20200116	0	0	548.931	262.577
20200116	0	0	539.78	258.2
20200116	0	0	535.265	256.041
20200116	0	0	530.466	253.745
20200116	0	0	531.524	254.251
20200116	0	0	529.571	253.317
20200116	0	0	523.715	250.516
20200116	0	0	526.114	251.663
20200116	0	0	523.796	250.555
20200116	0	0	518.468	248.006
20200116	0	0	518.672	248.103
20200116	0	0	517.858	247.714
20200116	0	0	512.897	245.341
20200116	0	0	512.327	245.068
20200116	0	0	511.717	244.777
20200116	0	0	519.648	248.57
20200116	0	0	521.356	249.387
20200116	0	0	513.751	245.749
20200116	0	0	519.811	248.648
20200116	0	0	549.907	263.044
20200116	0	0	579.84	277.363
20200116	0	0	591.35	282.868
20200116	0	0	596.19	285.184
20200116	0	0	645.727	308.879
20200116	0	0	694.043	331.991
20200116	0	0	696.117	332.983
20200116	0	0	700.144	334.909
20200116	0	0	710.274	339.755
20200116	0	0	709.667	339.464
20200116	0	0	709.897	339.575
20200116	0	0	722.004	345.366
20200116	0	0	740.049	353.998
20200116	0	0	757.769	362.474
20200116	0	0	768.742	367.723
20200116	0	0	783.863	374.956
20200116	0	0	799.364	382.371
20200116	0	0	807.3	386.167
20200116	0	0	818.457	391.504
20200116	0	0	830.346	397.19
20200116	0	0	843.924	403.686
20200116	0	0	853.557	408.294
20200116	0	0	878.12	420.043
20200116	0	0	875.677	418.875
20200116	0	0	881.503	421.661
20200116	0	0	892.25	426.802
20200116	0	0	894.132	427.702
20200116	0	0	902.033	431.482
20200116	0	0	911.113	435.825
20200116	0	0	895.099	428.165
20200116	0	0	894.078	427.676
20200116	0	0	908.349	434.503
20200116	0	0	923.367	441.687
