LOAD_ZONE,TIMEPOINT,zone_demand_mw
Manoa,261,15.49872
Manoa,262,15.01632
Manoa,263,14.76936
Manoa,264,14.68584
Manoa,265,14.730479999999998
Manoa,266,14.59224
Manoa,267,14.46192
Manoa,268,14.28984
Manoa,269,14.05728
Manoa,270,13.819679999999998
Manoa,271,13.65408
Manoa,272,13.53672
Manoa,273,13.4244
Manoa,274,13.286879999999998
Manoa,275,13.01976
Manoa,276,12.8988
Manoa,277,12.80304
Manoa,278,12.5784
Manoa,279,12.3084
Manoa,280,12.20616
Manoa,281,12.12408
Manoa,282,11.63088
Manoa,283,11.34576
Manoa,284,11.1888
Manoa,285,11.10024
Manoa,286,11.00808
Manoa,287,10.90584
Manoa,288,10.86768
Manoa,289,10.68264
Manoa,290,10.37952
Manoa,291,10.1304
Manoa,292,9.97704
Manoa,293,9.9612
Manoa,294,9.85608
Manoa,295,9.51696
Manoa,296,9.56736
Manoa,297,9.4824
Manoa,298,9.47736
Manoa,299,9.468
Manoa,300,9.35568
Manoa,301,9.40104
Manoa,302,9.3168
Manoa,303,9.28296
Manoa,304,9.31968
Manoa,305,9.25848
Manoa,306,9.43128
Manoa,307,9.37872
Manoa,308,9.3204
Manoa,309,9.38592
Manoa,310,9.51408
Manoa,311,9.81432
Manoa,312,9.9396
Manoa,313,9.89712
Manoa,314,10.09224
Manoa,315,10.14192
Manoa,316,10.19736
Manoa,317,10.05624
Manoa,318,9.81648
Manoa,319,9.82368
Manoa,320,9.75672
Manoa,321,9.76536
Manoa,322,9.95832
Manoa,323,10.06704
Manoa,324,10.10376
Manoa,325,10.25064
Manoa,326,10.28592
Manoa,327,10.3824
Manoa,328,10.48896
Manoa,329,10.57464
Manoa,330,10.43352
Manoa,331,10.39104
Manoa,332,10.67256
Manoa,333,10.68048
Manoa,334,10.68048
Manoa,335,10.80216
Manoa,336,10.86696
Manoa,337,10.86192
Manoa,338,10.93824
Manoa,339,11.03472
Manoa,340,11.08872
Manoa,341,11.12688
Manoa,342,11.11536
Manoa,343,11.09016
Manoa,344,11.13912
Manoa,345,11.268
Manoa,346,11.27232
Manoa,347,11.28672
Manoa,348,11.35008
Manoa,349,11.31912
Manoa,350,11.22408
Manoa,351,11.1996
Manoa,352,11.13624
Manoa,353,11.0448
Manoa,354,11.0124
Manoa,355,11.05848
Manoa,356,11.0232
Manoa,357,10.9728
Manoa,358,10.94184
Manoa,359,10.94904
Manoa,360,10.97856
Manoa,361,11.2176
Manoa,362,11.3004
Manoa,363,11.3076
Manoa,364,11.42568
Manoa,365,11.37024
Manoa,366,11.37744
Manoa,367,11.4228
Manoa,368,11.3544
Manoa,369,11.37456
Manoa,370,11.3832
Manoa,371,11.35656
Manoa,372,11.31912
Manoa,373,11.27304
Manoa,374,11.03904
Manoa,375,11.09376
Manoa,376,11.0664
Manoa,377,10.96776
Manoa,378,11.00088
Manoa,379,10.88352
Manoa,380,10.87416
Manoa,381,10.72008
Manoa,382,10.58184
Manoa,383,10.58184
Manoa,384,10.46736
Manoa,385,11.124
Manoa,386,10.86192
Manoa,387,10.60704
Manoa,388,10.39536
Manoa,389,10.30896
Manoa,390,10.25136
Manoa,391,10.21464
Manoa,392,10.18224
Manoa,393,10.10736
Manoa,394,10.11888
Manoa,395,10.06488
Manoa,396,10.0404
Manoa,397,10.0044
Manoa,398,10.00728
Manoa,399,9.97272
Manoa,400,9.96624
Manoa,401,10.02024
Manoa,402,10.0836
Manoa,403,10.08792
Manoa,404,10.00152
Manoa,405,10.11816
Manoa,406,10.5948
Manoa,407,11.088
Manoa,408,11.5812
Manoa,409,11.6352
Manoa,410,12.81888
Manoa,411,13.51944
Manoa,412,13.5072
Manoa,413,13.558320000000002
Manoa,414,13.68288
Manoa,415,13.82328
Manoa,416,13.961520000000002
Manoa,417,14.197679999999998
Manoa,418,14.43456
Manoa,419,14.69736
Manoa,420,15.07464
Manoa,421,15.37272
Manoa,422,15.57144
Manoa,423,15.86232
Manoa,424,16.09776
Manoa,425,16.328879999999998
Manoa,426,16.524720000000002
Manoa,427,16.65144
Manoa,428,16.699679999999994
Manoa,429,16.807679999999998
Manoa,430,16.913520000000002
Manoa,431,17.100720000000006
Manoa,432,17.199360000000002
Manoa,433,17.167679999999994
Manoa,434,17.17272
Manoa,435,17.1144
Manoa,436,17.0604
Manoa,437,17.17128
Manoa,438,17.33832
Manoa,439,17.495279999999998
Manoa,440,17.4564
Manoa,441,17.4636
Manoa,442,17.58096
Manoa,443,17.55144
Manoa,444,17.49888
Manoa,445,17.44776
Manoa,446,17.4852
Manoa,447,17.376479999999994
Manoa,448,17.208
Manoa,449,17.15472
Manoa,450,16.9776
Manoa,451,16.79616
Manoa,452,16.55784
Manoa,453,16.3296
Manoa,454,16.012079999999994
Manoa,455,15.92784
Manoa,456,15.87456
Manoa,457,15.85656
Manoa,458,15.69384
Manoa,459,15.47064
Manoa,460,15.36048
Manoa,461,15.25752
Manoa,462,15.00048
Manoa,463,14.6916
Manoa,464,14.60016
Manoa,465,14.429520000000002
Manoa,466,14.32296
Manoa,467,14.07312
Manoa,468,13.90032
Manoa,469,13.68576
Manoa,470,13.40064
Manoa,471,13.1796
Manoa,472,12.99384
Manoa,473,12.82392
Manoa,474,12.56472
Manoa,475,12.23208
Manoa,476,12.10032
Manoa,477,11.94984
Manoa,478,11.74896
Manoa,479,11.58912
Manoa,480,11.48328
Manoa,481,10.85184
Manoa,482,10.53864
Manoa,483,10.23336
Manoa,484,10.18944
Manoa,485,10.17216
Manoa,486,10.0656
Manoa,487,9.93096
Manoa,488,9.90936
Manoa,489,9.85752
Manoa,490,9.78408
Manoa,491,9.72144
Manoa,492,9.67608
Manoa,493,9.69408
Manoa,494,9.60696
Manoa,495,9.57096
Manoa,496,9.56016
Manoa,497,9.57672
Manoa,498,9.61704
Manoa,499,9.62064
Manoa,500,9.56376
Manoa,501,9.70416
Manoa,502,10.01808
Manoa,503,10.62288
Manoa,504,10.94328
Manoa,505,11.15352
Manoa,506,12.24504
Manoa,507,12.97368
Manoa,508,13.03704
Manoa,509,13.19328
Manoa,510,13.24368
Manoa,511,13.32288
Manoa,512,13.54248
Manoa,513,13.700879999999998
Manoa,514,14.14656
Manoa,515,14.3964
Manoa,516,14.61672
Manoa,517,14.90328
Manoa,518,15.02424
Manoa,519,15.13296
Manoa,520,15.25608
Manoa,521,15.35904
Manoa,522,15.4044
Manoa,523,15.64776
Manoa,524,15.68808
Manoa,525,15.5844
Manoa,526,15.73344
Manoa,527,15.5484
Manoa,528,15.75936
Manoa,529,15.950879999999998
Manoa,530,15.89976
Manoa,531,15.8256
Manoa,532,16.07616
Manoa,533,16.0668
Manoa,534,16.05096
Manoa,535,16.091279999999998
Manoa,536,16.04448
Manoa,537,16.0524
Manoa,538,16.082639999999998
Manoa,539,16.043039999999998
Manoa,540,16.0704
Manoa,541,16.03728
Manoa,542,15.98328
Manoa,543,15.97104
Manoa,544,15.77736
Manoa,545,15.626879999999998
Manoa,546,15.40584
Manoa,547,15.252479999999998
Manoa,548,15.05664
Manoa,549,14.8572
Manoa,550,14.39496
Manoa,551,14.08752
Manoa,552,14.08104
Manoa,553,14.166720000000002
Manoa,554,14.11776
Manoa,555,14.05656
Manoa,556,13.974479999999998
Manoa,557,13.91256
Manoa,558,13.648320000000002
Manoa,559,13.3596
Manoa,560,13.16376
Manoa,561,13.12776
Manoa,562,12.95208
Manoa,563,12.46464
Manoa,564,12.49776
Manoa,565,12.3408
Manoa,566,12.00168
Manoa,567,11.8332
Manoa,568,11.81232
Manoa,569,11.71584
Manoa,570,11.3724
Manoa,571,11.20176
Manoa,572,11.11104
Manoa,573,10.90656
Manoa,574,10.74744
Manoa,575,10.72728
Manoa,576,10.72944
Manoa,577,11.48184
Manoa,578,11.0016
Manoa,579,10.7028
Manoa,580,10.52568
Manoa,581,10.5336
Manoa,582,10.42416
Manoa,583,10.35864
Manoa,584,10.28808
Manoa,585,10.25208
Manoa,586,10.03536
Manoa,587,9.9252
Manoa,588,9.9396
Manoa,589,9.95328
Manoa,590,9.88056
Manoa,591,9.88128
Manoa,592,9.92232
Manoa,593,9.89424
Manoa,594,9.95976
Manoa,595,10.026
Manoa,596,10.07712
Manoa,597,10.13328
Manoa,598,10.44
Manoa,599,11.06496
Manoa,600,11.45808
Manoa,601,11.61216
Manoa,602,12.6216
Manoa,603,13.245120000000002
Manoa,604,13.18176
Manoa,605,13.27896
Manoa,606,13.36248
Manoa,607,13.48848
Manoa,608,13.71672
Manoa,609,14.06232
Manoa,610,14.44464
Manoa,611,14.82192
Manoa,612,15.09048
Manoa,613,15.47928
Manoa,614,15.88248
Manoa,615,16.0704
Manoa,616,16.29648
Manoa,617,16.53552
Manoa,618,16.52112
Manoa,619,16.75656
Manoa,620,16.89624
Manoa,621,16.9416
Manoa,622,16.9452
Manoa,623,17.05176
Manoa,624,17.201520000000002
Manoa,625,17.25048
Manoa,626,17.16048
Manoa,627,17.24472
Manoa,628,17.36712
Manoa,629,17.331120000000002
Manoa,630,17.331120000000002
Manoa,631,17.44056
Manoa,632,17.45064
Manoa,633,17.48088
Manoa,634,17.5212
Manoa,635,17.47728
Manoa,636,17.36496
Manoa,637,17.359920000000002
Manoa,638,17.36352
Manoa,639,17.25408
Manoa,640,17.10288
Manoa,641,16.99344
Manoa,642,16.9092
Manoa,643,16.79256
Manoa,644,16.485120000000002
Manoa,645,16.3368
Manoa,646,15.98256
Manoa,647,15.79104
Manoa,648,15.655679999999998
Manoa,649,15.66216
Manoa,650,16.01784
Manoa,651,16.1388
Manoa,652,15.95664
Manoa,653,15.71832
Manoa,654,15.5556
Manoa,655,15.365520000000002
Manoa,656,15.30432
Manoa,657,15.156
Manoa,658,14.89896
Manoa,659,14.47848
Manoa,660,14.26392
Manoa,661,14.053679999999998
Manoa,662,13.74696
Manoa,663,13.47336
Manoa,664,13.41864
Manoa,665,13.24224
Manoa,666,12.63744
Manoa,667,12.49992
Manoa,668,12.37464
Manoa,669,12.2076
Manoa,670,12.12264
Manoa,671,11.95848
Manoa,672,11.84688
Manoa,673,10.30968
Manoa,674,9.9324
Manoa,675,9.89064
Manoa,676,9.78984
Manoa,677,9.7092
Manoa,678,9.6192
Manoa,679,9.5724
Manoa,680,9.558
Manoa,681,9.5292
Manoa,682,9.50616
Manoa,683,9.44352
Manoa,684,9.44064
Manoa,685,9.44208
Manoa,686,9.50328
Manoa,687,9.42624
Manoa,688,9.44352
