timepoint_id,purchase_power_price
1,135.8083
2,135.8083
3,135.8083
4,135.8083
5,135.8083
6,135.8083
7,135.8083
8,135.8083
9,135.8083
10,135.8083
11,135.8083
12,135.8083
13,135.8083
14,135.8083
15,135.8083
16,135.8083
17,135.8083
18,135.8083
19,135.8083
20,135.8083
21,135.8083
22,135.8083
23,135.8083
24,135.8083
25,135.8083
26,135.8083
27,135.8083
28,135.8083
29,135.8083
30,135.8083
31,135.8083
32,135.8083
33,135.8083
34,135.8083
35,135.8083
36,135.8083
37,135.8083
38,135.8083
39,135.8083
40,135.8083
41,135.8083
42,135.8083
43,135.8083
44,135.8083
45,135.8083
46,135.8083
47,135.8083
48,135.8083
49,135.8083
50,135.8083
51,135.8083
52,135.8083
53,135.8083
54,135.8083
55,135.8083
56,135.8083
57,135.8083
58,135.8083
59,135.8083
60,135.8083
61,135.8083
62,135.8083
63,135.8083
64,135.8083
65,135.8083
66,135.8083
67,135.8083
68,135.8083
69,135.8083
70,135.8083
71,135.8083
72,135.8083
73,135.8083
74,135.8083
75,135.8083
76,135.8083
77,135.8083
78,135.8083
79,135.8083
80,135.8083
81,135.8083
82,135.8083
83,135.8083
84,135.8083
85,135.8083
86,135.8083
87,135.8083
88,135.8083
89,135.8083
90,135.8083
91,135.8083
92,135.8083
93,135.8083
94,135.8083
95,135.8083
96,135.8083
97,135.8083
98,135.8083
99,135.8083
100,135.8083
101,135.8083
102,135.8083
103,135.8083
104,135.8083
105,135.8083
106,135.8083
107,135.8083
108,135.8083
109,135.8083
110,135.8083
111,135.8083
112,135.8083
113,135.8083
114,135.8083
115,135.8083
116,135.8083
117,135.8083
118,135.8083
119,135.8083
120,135.8083
121,135.8083
122,135.8083
123,135.8083
124,135.8083
125,135.8083
126,135.8083
127,135.8083
128,135.8083
129,135.8083
130,135.8083
131,135.8083
132,135.8083
133,135.8083
134,135.8083
135,135.8083
136,135.8083
137,135.8083
138,135.8083
139,135.8083
140,135.8083
141,135.8083
142,135.8083
143,135.8083
144,135.8083
145,135.8083
146,135.8083
147,135.8083
148,135.8083
149,135.8083
150,135.8083
151,135.8083
152,135.8083
153,135.8083
154,135.8083
155,135.8083
156,135.8083
157,135.8083
158,135.8083
159,135.8083
160,135.8083
161,135.8083
162,135.8083
163,135.8083
164,135.8083
165,135.8083
166,135.8083
167,135.8083
168,135.8083
169,135.8083
170,135.8083
171,135.8083
172,135.8083
173,135.8083
174,135.8083
175,135.8083
176,135.8083
177,135.8083
178,135.8083
179,135.8083
180,135.8083
181,135.8083
182,135.8083
183,135.8083
184,135.8083
185,135.8083
186,135.8083
187,135.8083
188,135.8083
189,135.8083
190,135.8083
191,135.8083
192,135.8083
193,135.8083
194,135.8083
195,135.8083
196,135.8083
197,135.8083
198,135.8083
199,135.8083
200,135.8083
201,135.8083
202,135.8083
203,135.8083
204,135.8083
205,135.8083
206,135.8083
207,135.8083
208,135.8083
209,135.8083
210,135.8083
211,135.8083
212,135.8083
213,135.8083
214,135.8083
215,135.8083
216,135.8083
217,135.8083
218,135.8083
219,135.8083
220,135.8083
221,135.8083
222,135.8083
223,135.8083
224,135.8083
225,135.8083
226,135.8083
227,135.8083
228,135.8083
229,135.8083
230,135.8083
231,135.8083
232,135.8083
233,135.8083
234,135.8083
235,135.8083
236,135.8083
237,135.8083
238,135.8083
239,135.8083
240,135.8083
