PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,90391725.91988558,19560910.679710567,33.57989828448078,582518.461312636
2025,105688306.94308111,25251558.69488046,43.348941487586636,582518.461312636
2030,117566898.68162815,31013242.20026299,53.239930165266074,582518.461312636
2035,128922257.35922085,37548350.98327086,64.45864547993916,582518.461312636
