timeseries,GenVariableOMCostsInTP,FuelCostsPerTP,PurchasedPowerCost,NonEnergyCharge
202001,0,0,62953.4,28686.5
202001,0,0,85957.7,39169
202001,0,0,79905.7,36411.2
202002,0,0,58153.8,29333.9
202002,0,0,77849.1,39268.6
202002,0,0,72718.3,36680.5
202003,0,0,56004.6,39457.9
202003,0,0,45062.2,31748.4
202003,0,0,39629.7,27921
202004,0,0,35443.3,34209.1
202004,0,0,41237.8,39801.8
202004,0,0,42487.5,41008
202005,0,0,47510.6,41034.7
202005,0,0,40483.9,34965.8
202005,0,0,45637.1,39416.6
202006,0,0,50828.2,39417.1
202006,0,0,49387.8,38300.1
202006,0,0,47698.1,36989.8
202007,0,0,53016.2,38885.5
202007,0,0,43372.1,31811.9
202007,0,0,56146.5,41181.5
202008,0,0,46290.6,33837.8
202008,0,0,48853.8,35711.4
202008,0,0,59558.7,43536.5
202009,0,0,49486.7,35246.3
202009,0,0,63357,45125.3
202009,0,0,52318.5,37263.3
202010,0,0,52348.2,36717
202010,0,0,54106,37949.9
202010,0,0,63537.7,44565.3
202011,0,0,63969.9,42955.8
202011,0,0,49762.9,33415.8
202011,0,0,54683.3,36719.9
202012,0,0,66695.1,44464.8
202012,0,0,51030.7,34021.5
202012,0,0,51164.2,34110.5
202101,0,0,172097,127282
202102,0,0,162398,119196
202103,0,0,141054,103169
202104,0,0,172352,129339
202105,0,0,173505,128087
202106,0,0,172915,124459
202107,0,0,174951,126361
202108,0,0,160026,116047
202109,0,0,168592,121089
202110,0,0,172526,123321
202111,0,0,170468,119324
202112,0,0,158416,110555
202201,0,0,155994,137669
202202,0,0,141016,128922
202203,0,0,124135,111587
202204,0,0,154749,139893
202205,0,0,155212,138539
202206,0,0,153766,134614
202207,0,0,160470,136672
202208,0,0,148507,125516
202209,0,0,154551,130970
202210,0,0,158268,133384
202211,0,0,150818,129060
202212,0,0,140151,119576
202301,0,0,178360,152535
202302,0,0,166483,142844
202303,0,0,145662,123637
202304,0,0,178150,154999
