year,TotalCredit,PV_Gen
2025,155.3553465784046,27218.0
2026,163.0448889627681,27218.0
2027,169.34406860943287,27218.0
2028,173.03466632021758,27218.0
2029,176.62051899925237,27218.0
2030,179.83608535687006,27218.0
2031,186.01276457410248,27218.0
2032,191.7778224420293,27218.0
2033,194.01589286597343,27218.0
2034,199.05141190377088,27218.0
2035,203.70591832336157,27218.0
2036,207.98950014726785,27218.0
2037,211.91191436953991,27218.0
2038,215.48271404909423,27218.0
2039,218.71116315170065,27218.0
