period,GenVariableOMCostsInTP,FuelCostsPerTP,PurchasedPowerCost,NonEnergyCharge,TotalGenFixedCosts,StorageEnergyInstallCosts,EmissionsCosts,DemandCharges
2020,2.64099,0,4.59467e+07,3.66786e+07,16183.2,214140,0,1.77528e+07
2025,2.76269,0,4.64561e+07,4.73153e+07,17213,193954,0,2.07856e+07
2030,1.12066,2.11765e+07,3.13191e+07,4.27307e+07,6.81859e+06,175670,568629,1.59576e+07
2035,0.127159,1.91802e+07,2.81354e+07,5.03213e+07,8.53088e+06,159109,515025,1.57145e+07
