COGEN_GEN_TPS_1,COGEN_GEN_TPS_2,CogenCoolingOffset
Cogen_Power_Plant,8231,0.0
Cogen_Power_Plant,8232,0.0
Cogen_Power_Plant,8233,0.0
Cogen_Power_Plant,8234,0.0
Cogen_Power_Plant,8235,0.0
Cogen_Power_Plant,8236,0.0
Cogen_Power_Plant,8237,0.0
Cogen_Power_Plant,8238,0.0
Cogen_Power_Plant,8239,0.0
Cogen_Power_Plant,8240,0.0
Cogen_Power_Plant,8241,0.0
Cogen_Power_Plant,8242,0.0
Cogen_Power_Plant,8243,0.0
Cogen_Power_Plant,8244,0.0
Cogen_Power_Plant,8245,0.0
Cogen_Power_Plant,8246,0.0
Cogen_Power_Plant,8247,0.0
Cogen_Power_Plant,8248,0.0
Cogen_Power_Plant,8249,0.0
Cogen_Power_Plant,8250,0.0
Cogen_Power_Plant,8251,0.0
Cogen_Power_Plant,8252,0.0
Cogen_Power_Plant,8253,0.0
Cogen_Power_Plant,8254,0.0
Cogen_Power_Plant,8255,0.0
Cogen_Power_Plant,8256,0.0
Cogen_Power_Plant,8257,0.0
Cogen_Power_Plant,8258,0.0
Cogen_Power_Plant,8259,0.0
Cogen_Power_Plant,8260,0.0
Cogen_Power_Plant,8261,0.0
Cogen_Power_Plant,8262,0.0
Cogen_Power_Plant,8263,0.0
Cogen_Power_Plant,8264,0.0
Cogen_Power_Plant,8265,0.0
Cogen_Power_Plant,8266,0.0
Cogen_Power_Plant,8267,0.0
Cogen_Power_Plant,8268,0.0
Cogen_Power_Plant,8269,0.0
Cogen_Power_Plant,8270,0.0
Cogen_Power_Plant,8271,0.0
Cogen_Power_Plant,8272,0.0
Cogen_Power_Plant,8273,0.0
Cogen_Power_Plant,8274,0.0
Cogen_Power_Plant,8275,0.0
Cogen_Power_Plant,8276,0.0
Cogen_Power_Plant,8277,0.0
Cogen_Power_Plant,8278,0.0
Cogen_Power_Plant,8279,0.0
Cogen_Power_Plant,8280,0.0
Cogen_Power_Plant,8281,0.0
Cogen_Power_Plant,8282,0.0
Cogen_Power_Plant,8283,0.0
Cogen_Power_Plant,8284,0.0
Cogen_Power_Plant,8285,0.0
Cogen_Power_Plant,8286,0.0
Cogen_Power_Plant,8287,0.0
Cogen_Power_Plant,8288,0.0
Cogen_Power_Plant,8289,0.0
Cogen_Power_Plant,8290,0.0
Cogen_Power_Plant,8291,0.0
Cogen_Power_Plant,8292,0.0
Cogen_Power_Plant,8293,0.0
Cogen_Power_Plant,8294,0.0
Cogen_Power_Plant,8295,0.0
Cogen_Power_Plant,8296,0.0
Cogen_Power_Plant,8297,0.0
Cogen_Power_Plant,8298,0.0
Cogen_Power_Plant,8299,0.0
Cogen_Power_Plant,8300,0.0
Cogen_Power_Plant,8301,0.0
Cogen_Power_Plant,8302,0.0
Cogen_Power_Plant,8303,0.0
Cogen_Power_Plant,8304,0.0
Cogen_Power_Plant,8305,0.0
Cogen_Power_Plant,8306,0.0
Cogen_Power_Plant,8307,0.0
Cogen_Power_Plant,8308,0.0
Cogen_Power_Plant,8309,0.0
Cogen_Power_Plant,8310,0.0
Cogen_Power_Plant,8311,0.0
Cogen_Power_Plant,8312,0.0
Cogen_Power_Plant,8313,0.0
Cogen_Power_Plant,8314,0.0
Cogen_Power_Plant,8315,0.0
Cogen_Power_Plant,8316,0.0
Cogen_Power_Plant,8317,0.0
Cogen_Power_Plant,8318,0.0
Cogen_Power_Plant,8319,0.0
Cogen_Power_Plant,8320,0.0
Cogen_Power_Plant,8321,0.0
Cogen_Power_Plant,8322,0.0
Cogen_Power_Plant,8323,0.0
Cogen_Power_Plant,8324,0.0
Cogen_Power_Plant,8325,0.0
Cogen_Power_Plant,8326,0.0
Cogen_Power_Plant,8327,0.0
Cogen_Power_Plant,8328,0.0
Cogen_Power_Plant,8329,0.0
Cogen_Power_Plant,8330,0.0
Cogen_Power_Plant,8331,0.0
Cogen_Power_Plant,8332,0.0
Cogen_Power_Plant,8333,0.0
Cogen_Power_Plant,8334,0.0
Cogen_Power_Plant,8335,0.0
Cogen_Power_Plant,8336,0.0
Cogen_Power_Plant,8337,0.0
Cogen_Power_Plant,8338,0.0
Cogen_Power_Plant,8339,0.0
Cogen_Power_Plant,8340,0.0
Cogen_Power_Plant,8341,0.0
Cogen_Power_Plant,8342,0.0
Cogen_Power_Plant,8343,0.0
Cogen_Power_Plant,8344,0.0
Cogen_Power_Plant,8345,0.0
