timeseries,GenVariableOMCostsInTP,FuelCostsPerTP,PurchasedPowerCost,NonEnergyCharge
203005,0,19293.5,57442.1,72240.5
203005,0,5575.54,54525.8,68573
203005,0,15008,56987,71668.2
203006,0,15059.9,58200.8,71635.7
203006,0,11941.3,57963.9,71344.1
203006,0,9773.51,56903.9,70039.5
203007,0,13818.5,59443,71340.2
203007,0,0,54713.1,65663.7
203007,0,19319.5,60431.6,72526.7
203008,0,0,58512.4,69845.4
203008,0,2344.79,60483.7,72198.5
203008,0,25005.2,61754.8,73715.8
203009,0,1264.93,59821.2,71935.9
203009,0.0136341,29678.7,61563.5,74031
203009,0,5359.23,61084.4,73454.9
203010,0,6190.46,59765.9,71790.4
203010,0,6912.1,61496.5,73869.2
203010,0,27632.3,61724,74142.5
203011,0,23453.1,60104.8,73519.5
203011,0,91.9693,56340.5,68915
203011,0,6099.85,58744,71854.9
203012,0,27589,60406.8,73963.1
203012,0,0,57353.6,70224.6
203012,0,1834.12,56536.3,69223.9
203101,0,47205.8,170915,225951
203102,0,29360.1,161493,221811
203103,0,4034.75,154260,206697
203104,0,50857.5,167784,227613
203105,0,45024.1,170756,229086
203106,0,35823.8,173718,228050
203107,0,41455.6,178702,228037
203108,0,17862.5,176208,223330
203109,0,16077.7,183681,234797
203110,0,20736.3,184947,236121
203111,0,18299.6,176022,229682
203112,0,5861.59,168814,220438
203201,0,89798.1,148468,207954
203202,0,37056.8,156694,228970
203203,0,25179.3,142879,203201
203204,0,57952.5,163881,235543
203205,0,70508,157393,223719
203206,0,81516.3,149526,207918
203207,0.00206564,98018.5,148446,200003
203208,0.00323785,150454,104550,139703
203209,0.00261705,142844,115664,156067
203210,0.00287985,142837,119384,160863
203211,0,132588,115542,159726
203212,0,155106,90028.8,124512
203301,0.00692158,92132.9,146900,215816
203302,0,97901.6,125525,193226
203303,0.0132895,144069,81727.4,122136
203304,0.0069705,89651.1,147476,222325
203305,0.00259527,94313.4,144847,215943
203306,0.0106406,104461,137243,200105
203307,0.0112633,177593,105614,148704
203308,0.0079148,177593,90020.9,125518
203309,0.019302,177593,97109.9,136900
203310,0.0202307,177593,100823,141916
203311,0.0085781,136569,113196,164115
203312,0.0067656,157982,88345.6,128106
203401,0.0115341,177593,102291,158722
203402,0.0045802,99765.3,123645,201939
203403,0.0311047,177593,64370.8,101794
203404,0.0225302,177593,102774,163638
203405,0.0115923,177593,102014,160625
203406,0.0148534,177593,98780.1,152061
203407,0.0101912,177593,105671,156536
203408,0.00742437,177593,90211.7,132131
203409,0.0153028,177593,97177.7,144095
203410,0.0111134,177593,100892,149351
203411,0.00918596,177593,91369.3,139889
203412,0.00730215,177593,77829.5,119144
203501,0,2904.98,45901.2,74996.9
203501,0,32429.8,48006.1,78436.1
203501,0,25208.6,47131.4,77006.9
203502,0,3086.51,44453,76814.8
203502,0,32705.3,45365.1,78390.9
203502,0,24823,45056.4,77857.4
203503,0,33531.3,46981,78383.2
203503,0,9771.78,46403.7,77420
203503,0,654.401,45076.2,75205.2
203504,0,19399.2,45331.1,76001.7
203504,0,34335.6,46897.2,78627.6
203504,0,37786.6,47050.9,78885.2
203505,0,38219.2,47582.3,78885.2
203505,0,20353.9,46723.8,77462
203505,0,32761.7,47580.2,78881.7
203506,0,32912.6,48686.5,78885.2
203506,0,29365.8,48686.5,78885.2
203506,0,26421.3,48061.9,77873.1
203507,0,31191.9,50768.7,78867.9
203507,0,9176.16,50562.5,78547.5
203507,0,38611.1,50779.8,78885.2
203508,0,15191.4,51440.6,78885.2
203508,0,21077.7,51440.6,78885.2
203508,0,46180.4,51440.6,78885.2
203509,0,19591.2,50743.3,78885.2
203509,0.0117841,51139.8,50743.3,78885.2
203509,0,25858.6,50743.3,78885.2
203510,0,24048.4,50836.5,78885.2
203510,0,27873.8,50836.5,78885.2
203510,0,49254.1,50836.5,78885.2
203511,0,43922.1,48941.9,78885.2
203511,0,13662.8,48890.7,78802.6
203511,0,23855.7,48941.9,78885.2
203512,0,48823.6,48962.3,78885.2
203512,0,15436.4,48962.3,78885.2
203512,0,15966.1,48809.3,78638.6
203601,0,97289.5,143317,246694
203602,0,74468.9,133835,244874
203603,0,29315.3,138254,243498
203604,0,103007,140005,247296
203605,0,98285.2,142055,248096
203606,0,88097.5,145418,248107
203607,0,93575.8,152222,248052
203608,0,63233.2,154495,248107
203609,0,77575.7,152186,248107
203610,0,83621.4,152489,248107
203611,0,71567.2,146149,248107
203612,0,46309.1,146254,248107
203701,0,97289.5,142496,258839
203702,0,74468.9,132360,256929
203703,0,29315.3,137175,255486
203704,0,103007,139200,259471
203705,0,98285.2,141251,260310
203706,0,88097.5,144664,260321
203707,0,93575.8,152045,260264
203708,0,63233.2,154583,260321
203709,0,77575.7,152050,260321
203710,0,83621.4,152377,260321
203711,0,71567.2,145359,260321
203712,0,46309.1,145507,260321
203801,0,97289.5,141550,271743
203802,0,74468.9,130740,269738
203803,0,29315.3,135967,268223
203804,0,103007,138271,272407
203805,0,98285.2,140325,273287
203806,0,88097.5,143791,273299
203807,0,93575.8,151770,273239
203808,0,63233.2,154584,273299
203809,0,77575.7,151818,273299
203810,0,83621.4,152169,273299
203811,0,71567.2,144449,273299
203812,0,46309.1,144641,273299
203901,0,105877,136164,276358
203902,0,74468.9,128968,282999
203903,0,30073.6,134255,280637
203904,0,103007,137213,285799
203905,0,98285.2,139270,286722
203906,0,168818,101857,204532
203907,0.0046209,169688,110476,209191
203908,0.0079278,222495,67133.8,124599
203909,0.00857385,222089,73763.6,139622
203910,0.00410625,219326,78682.5,148565
203911,0,205540,75175.6,150302
203912,2.19e-05,229968,49950.8,99704.6
