GEN_TP_FUELS_1,GEN_TP_FUELS_2,GEN_TP_FUELS_3,GenFuelUseRate
Cogen_Power_Plant,8186,NaturalGas,0.0
Cogen_Power_Plant,8187,NaturalGas,0.0
Cogen_Power_Plant,8188,NaturalGas,0.0
Cogen_Power_Plant,8189,NaturalGas,0.0
Cogen_Power_Plant,8190,NaturalGas,0.0
Cogen_Power_Plant,8191,NaturalGas,0.0
Cogen_Power_Plant,8192,NaturalGas,0.0
Cogen_Power_Plant,8193,NaturalGas,0.0
Cogen_Power_Plant,8194,NaturalGas,0.0
Cogen_Power_Plant,8195,NaturalGas,0.0
Cogen_Power_Plant,8196,NaturalGas,0.0
Cogen_Power_Plant,8197,NaturalGas,0.0
Cogen_Power_Plant,8198,NaturalGas,0.0
Cogen_Power_Plant,8199,NaturalGas,0.0
Cogen_Power_Plant,8200,NaturalGas,0.0
Cogen_Power_Plant,8201,NaturalGas,0.0
Cogen_Power_Plant,8202,NaturalGas,0.0
Cogen_Power_Plant,8203,NaturalGas,0.0
Cogen_Power_Plant,8204,NaturalGas,0.0
Cogen_Power_Plant,8205,NaturalGas,0.0
Cogen_Power_Plant,8206,NaturalGas,0.0
Cogen_Power_Plant,8207,NaturalGas,0.0
Cogen_Power_Plant,8208,NaturalGas,0.0
Cogen_Power_Plant,8209,NaturalGas,0.0
Cogen_Power_Plant,8210,NaturalGas,0.0
Cogen_Power_Plant,8211,NaturalGas,0.0
Cogen_Power_Plant,8212,NaturalGas,0.0
Cogen_Power_Plant,8213,NaturalGas,0.0
Cogen_Power_Plant,8214,NaturalGas,0.0
Cogen_Power_Plant,8215,NaturalGas,0.0
Cogen_Power_Plant,8216,NaturalGas,0.0
Cogen_Power_Plant,8217,NaturalGas,0.0
Cogen_Power_Plant,8218,NaturalGas,0.0
Cogen_Power_Plant,8219,NaturalGas,0.0
Cogen_Power_Plant,8220,NaturalGas,0.0
Cogen_Power_Plant,8221,NaturalGas,0.0
Cogen_Power_Plant,8222,NaturalGas,0.0
Cogen_Power_Plant,8223,NaturalGas,0.0
Cogen_Power_Plant,8224,NaturalGas,0.0
Cogen_Power_Plant,8225,NaturalGas,0.0
Cogen_Power_Plant,8226,NaturalGas,0.0
Cogen_Power_Plant,8227,NaturalGas,0.0
Cogen_Power_Plant,8228,NaturalGas,0.0
