PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,131997274.32144375,28564416.341108877,49.03607050794985,582518.461312636
2025,156403881.56496334,37368767.74430489,64.15035784462319,582518.461312636
2030,168836685.41437927,44537816.98558997,76.45734846794264,582518.461312636
2035,178113291.21258363,51875141.734456226,89.05321492740636,582518.461312636
