timeseries,GenVariableOMCostsInTP,FuelCostsPerTP,PurchasedPowerCost,NonEnergyCharge
203206,0,0,385444,267238
203207,0,0,414889,271323
203208,0,0,389323,249176
203209,0,0,397857,260003
203210,0,0,405497,264794
203211,0,0,369767,256212
203212,0,0,342464,237384
203301,0,0,387007,285927
203302,0,0,337031,267761
203303,0,0,309172,231758
203304,0,0,390427,290546
203305,0,0,390497,287734
203306,0,0,388376,279584
203307,0,0,419857,283858
203308,0,0,394689,260687
203309,0,0,402709,272015
203310,0,0,410471,277027
203311,0,0,372473,268049
203312,0,0,345015,248351
203401,0,0,388570,300997
203402,0,0,336474,281874
203403,0,0,310021,243973
203404,0,0,392195,305860
203405,0,0,392376,302900
203406,0,0,390598,294320
203407,0,0,424178,298819
203408,0,0,399488,274427
203409,0,0,406944,286352
203410,0,0,414816,291629
203411,0,0,374496,282176
203412,0,0,346934,261441
203501,0,0,95520.2,77438.5
203501,0,0,130372,105693
203501,0,0,121123,98194.6
203502,0,0,90025.8,79409
203502,0,0,120036,105880
203502,0,0,111920,98721.1
203503,0,0,129215,106566
203503,0,0,103833,85633.2
203503,0,0,91856,75755.2
203504,0,0,113151,92306.7
203504,0,0,131759,107487
203504,0,0,135630,110645
203505,0,0,137512,111008
203505,0,0,117148,94569.4
203505,0,0,131825,106418
203506,0,0,135353,106548
203506,0,0,131566,103567
203506,0,0,127136,100080
203507,0,0,143469,105085
203507,0,0,117768,86260.1
203507,0,0,152006,111338
203508,0,0,128569,91653.5
203508,0,0,135510,96600.9
203508,0,0,165106,117700
203509,0,0,130358,95351.5
203509,0,0,166526,121807
203509,0,0,137559,100619
203510,0,0,135611,99097.8
203510,0,0,140011,102313
203510,0,0,164602,120283
203511,0,0,147069,115802
203511,0,0,114664,90286.2
203511,0,0,125649,98935.8
203512,0,0,152302,119921
203512,0,0,116663,91859.4
203512,0,0,116915,92058
203601,0,0,392379,332422
203602,0,0,334641,310494
203603,0,0,312068,269330
203604,0,0,396774,338063
203605,0,0,397112,334701
203606,0,0,396762,325735
203607,0,0,434873,330508
203608,0,0,411587,303825
203609,0,0,417059,316464
203610,0,0,424522,321791
203611,0,0,378796,311169
203612,0,0,351751,288913
203701,0,0,392759,348788
203702,0,0,332620,325780
203703,0,0,311912,282589
203704,0,0,397385,354706
203705,0,0,397877,351179
203706,0,0,397999,341771
203707,0,0,438584,346779
203708,0,0,415985,318783
203709,0,0,420719,332043
203710,0,0,428279,337633
203711,0,0,379850,326488
203712,0,0,352774,303136
203801,0,0,392245,366176
203802,0,0,329684,342021
203803,0,0,311020,296678
203804,0,0,397095,372389
203805,0,0,397758,368686
203806,0,0,398396,358810
203807,0,0,441528,364067
203808,0,0,419712,334675
203809,0,0,423650,348597
203810,0,0,431293,354465
203811,0,0,380096,342765
203812,0,0,353049,318248
203901,0,0,390822,384178
203902,0,0,325818,358835
203903,0,0,309381,311263
203904,0,0,395892,390696
203905,0,0,396742,386812
203906,0,0,397940,376450
203907,0,0,443695,381966
203908,0,0,422759,351129
203909,0,0,425838,365735
203910,0,0,433553,371891
203911,0,0,379524,359616
203912,0,0,352564,333894
