year,TotalCredit,PV_Gen
2025,-13.126863525299811,27218.0
2026,-9.315869867369644,27218.0
2027,-6.678363060863739,27218.0
2028,-6.4395760646991,27218.0
2029,-6.102494067773232,27218.0
2030,-5.9392936048903655,27218.0
2031,-5.877562946034663,27218.0
2032,-5.916227134402196,27218.0
2033,-6.054271750048117,27218.0
2034,-6.290615591622848,27218.0
2035,-6.624311852130224,27218.0
2036,-7.054369578423766,27218.0
2037,-7.579881156141603,27218.0
2038,-8.199901432161784,27218.0
2039,-8.913538939880189,27218.0
