PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,100663998.213333,21783846.449162297,37.39597608644882,582518.461312636
2025,114948725.62206921,27464102.471720133,47.14717952429017,582518.461312636
2030,125873252.29881653,33204394.296810973,57.00144545116874,582518.461312636
2035,136153079.12126818,39654313.43676964,68.07391708653039,582518.461312636
