timeseries,GenVariableOMCostsInTP,FuelCostsPerTP,PurchasedPowerCost,NonEnergyCharge
202001,0,0,63872.7,28686.5
202001,0,0,87213,39169
202001,0,0,81072.5,36411.2
202002,0,0,62229.2,29333.9
202002,0,0,83304.8,39268.6
202002,0,0,77814.4,36680.5
202003,0,0,83951.9,39457.9
202003,0,0,67548.9,31748.4
202003,0,0,59405.6,27921
202004,0,0,69689.4,34209.1
202004,0,0,81082.5,39801.8
202004,0,0,83539.8,41008
202005,0,0,85453.8,41034.7
202005,0,0,72815.5,34965.8
202005,0,0,82084.1,39416.6
202006,0,0,81742.3,39417.1
202006,0,0,79425.9,38300.1
202006,0,0,76708.6,36989.8
202007,0,0,80876.6,38885.5
202007,0,0,66164.4,31811.9
202007,0,0,85651.9,41181.5
202008,0,0,70268.9,33837.8
202008,0,0,74159.9,35711.4
202008,0,0,90409.8,43536.5
202009,0,0,74473.5,35246.3
202009,0,0,95347.1,45125.3
202009,0,0,78735.2,37263.3
202010,0,0,80100.1,36717
202010,0,0,82789.7,37949.9
202010,0,0,97221.5,44565.3
202011,0,0,96640.2,42955.8
202011,0,0,75177.4,33415.8
202011,0,0,82610.8,36719.9
202012,0,0,101797,44464.8
202012,0,0,77888.6,34021.5
202012,0,0,78092.4,34110.5
202101,0,0,269841,127282
202102,0,0,236562,119196
202103,0,0,205392,103169
202104,0,0,244364,129339
202105,0,0,247904,128087
202106,0,0,237490,124459
202107,0,0,243833,126361
202108,0,0,224382,116047
202109,0,0,239622,121089
202110,0,0,254659,123321
202111,0,0,255158,119324
202112,0,0,242224,110555
202201,0,0,275730,137669
202202,0,0,237057,128922
202203,0,0,205772,111587
202204,0,0,242020,139893
202205,0,0,246140,138539
202206,0,0,232987,134614
202207,0,0,241483,136672
202208,0,0,223075,125516
202209,0,0,239999,130970
202210,0,0,258273,133384
202211,0,0,260263,129060
202212,0,0,248989,119576
202301,0,0,346833,152535
202302,0,0,310337,142844
202303,0,0,261351,123637
202304,0,0,307867,154999
202305,0,0,308135,153499
202306,0,0,291900,149151
202307,0,0,298952,151431
202308,0,0,274520,139070
202309,0,0,298741,145114
202310,0,0,320190,147787
202311,0,0,328744,142997
202312,0,0,313807,132489
202401,0,0,355389,162107
202402,0,0,313341,151808
202403,0,0,262910,131396
202404,0,0,306251,164726
202405,0,0,306660,163132
202406,0,0,286953,158511
202407,0,0,296267,160934
202408,0,0,272902,147797
202409,0,0,299697,154220
202410,0,0,325115,157061
202411,0,0,336295,151971
202412,0,0,323320,140803
202501,0,0,88273.1,42706.6
202501,0,0,120530,58312.3
202501,0,0,112043,54206.7
202502,0,0,83658.9,43670.4
202502,0,0,111992,58460.5
202502,0,0,104611,54607.5
202503,0,0,108558,58742.4
202503,0,0,87347.2,47265
202503,0,0,76817,41567
202504,0,0,86255.3,50928.4
202504,0,0,100357,59254.3
202504,0,0,103398,61050.1
202505,0,0,104677,61089.8
202505,0,0,89195.7,52054.8
202505,0,0,100549,58680.9
202506,0,0,95416.6,58681.6
202506,0,0,92712.6,57018.7
202506,0,0,89540.7,55067.9
202507,0,0,96626.1,57890.2
202507,0,0,79048.9,47359.5
202507,0,0,102331,61308.3
202508,0,0,84624.5,50375.5
202508,0,0,89310.4,53164.9
202508,0,0,108880,64814.4
202509,0,0,93797.7,52472.4
202509,0,0,120088,67179.6
202509,0,0,99165.3,55475.1
202510,0,0,105548,54661.8
202510,0,0,109092,56497.3
202510,0,0,128109,66345.8
202511,0,0,133196,63949.8
202511,0,0,103614,49747.3
202511,0,0,113859,54666.1
202512,0,0,144208,66196.2
202512,0,0,110339,50649
202512,0,0,110627,50781.5
202601,0,0,356098,186341
202602,0,0,305175,174502
202603,0,0,253266,151039
202604,0,0,289201,189352
202605,0,0,288311,187519
202606,0,0,266751,182207
202607,0,0,277509,184993
202608,0,0,255450,169892
202609,0,0,285248,177275
202610,0,0,317486,180541
202611,0,0,335669,174690
202612,0,0,328990,161853
202701,0,0,348455,197950
202702,0,0,294431,185373
202703,0,0,242519,160448
202704,0,0,274839,201147
202705,0,0,272214,199201
202706,0,0,252903,193558
202707,0,0,262398,196517
202708,0,0,240201,180476
202709,0,0,270142,188318
202710,0,0,304997,191788
202711,0,0,327603,185572
202712,0,0,325321,171935
202801,0,0,338626,210372
202802,0,0,281583,197007
202803,0,0,229771,170517
202804,0,0,257950,213771
202805,0,0,253299,211702
202806,0,0,236526,205705
202807,0,0,244464,208850
202808,0,0,222089,191802
202809,0,0,252081,200137
202810,0,0,289726,203824
202811,0,0,317328,197218
202812,0,0,319980,182726
202901,0,0,326578,223202
202902,0,0,266611,209022
202903,0,0,214992,180917
202904,0,0,238497,226808
202905,0,0,231506,224613
