PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,128786531.91524576,27869606.669271633,47.843302007065645,582518.461312636
2025,139434456.8440863,33314351.1607527,57.19020661711351,582518.461312636
2030,137976961.24603212,36397259.47664365,62.48258534952997,582518.461312636
2035,148931677.03852987,43376054.65895837,74.46296991380426,582518.461312636
