period,GenVariableOMCostsInTP,FuelCostsPerTP,PurchasedPowerCost,NonEnergyCharge,TotalGenFixedCosts,StorageEnergyInstallCosts,EmissionsCosts,DemandCharges
2020,0,0,4.59391e+07,3.9822e+07,0,0,0,1.80524e+07
2025,0,0,4.64473e+07,5.27206e+07,0,0,0,2.18008e+07
2030,0,0,4.24447e+07,6.84309e+07,0,0,0,2.5779e+07
2035,0,0,3.80762e+07,9.03931e+07,0,0,0,3.12051e+07
