PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,103813487.44350591,22465400.838031087,38.56598945792719,582518.461312636
2025,120968721.46198592,28902428.836210586,49.61633107915997,582518.461312636
2030,136654640.27791208,36048441.39170083,61.88377499739657,582518.461312636
2035,159674438.16552916,46504862.46599261,79.83414355864265,582518.461312636
