timeseries,GenVariableOMCostsInTP,FuelCostsPerTP,PurchasedPowerCost,NonEnergyCharge
202001,0,0,62953.4,30724.9
202001,0,0,85957.7,41952.3
202001,0,0,79905.7,38998.5
202002,0,0,58153.8,31418.3
202002,0,0,77849.1,42058.9
202002,0,0,72718.3,39286.9
202003,0,0,56004.6,42261.7
202003,0,0,45062.2,34004.4
202003,0,0,39629.7,29905
202004,0,0,35443.3,36640
202004,0,0,41237.8,42630
202004,0,0,42487.5,43922
202005,0,0,47510.6,43950.5
202005,0,0,40483.9,37450.4
202005,0,0,45637.1,42217.5
202006,0,0,50828.2,42218
202006,0,0,49387.8,41021.6
202006,0,0,47698.1,39618.1
202007,0,0,53016.2,41648.6
202007,0,0,43372.1,34072.3
202007,0,0,56146.5,44107.7
202008,0,0,46290.6,36242.2
202008,0,0,48853.8,38249
202008,0,0,59558.7,46630.1
202009,0,0,49486.7,37750.8
202009,0,0,63357,48331.7
202009,0,0,52318.5,39911.1
202010,0,0,52348.2,39326
202010,0,0,54106,40646.5
202010,0,0,63537.7,47731.9
202011,0,0,63969.9,46008.2
202011,0,0,49762.9,35790.2
202011,0,0,54683.3,39329.1
202012,0,0,66695.1,47624.3
202012,0,0,51030.7,36439
202012,0,0,51164.2,36534.3
202101,0,0,172097,137669
202102,0,0,162398,128922
202103,0,0,141054,111587
202104,0,0,172352,139893
202105,0,0,173505,138539
202106,0,0,172915,134614
202107,0,0,174951,136672
202108,0,0,160026,125516
202109,0,0,168592,130970
202110,0,0,172526,133384
202111,0,0,170468,129060
202112,0,0,158416,119576
202201,0,0,155994,149480
202202,0,0,141016,139983
202203,0,0,124135,121161
202204,0,0,154749,151895
202205,0,0,155212,150425
202206,0,0,153766,146164
202207,0,0,160470,148398
202208,0,0,148507,136285
202209,0,0,154551,142207
202210,0,0,158268,144828
202211,0,0,150818,140134
202212,0,0,140151,129836
202301,0,0,178360,166383
202302,0,0,166483,155813
202303,0,0,145662,134862
202304,0,0,178150,169071
202305,0,0,179312,167435
202306,0,0,178735,162692
202307,0,0,182570,165179
202308,0,0,167238,151696
202309,0,0,175162,158288
202310,0,0,178871,161205
202311,0,0,174911,155980
202312,0,0,161953,144518
202401,0,0,183070,177584
202402,0,0,170075,166302
202403,0,0,149011,143941
202404,0,0,182529,180453
202405,0,0,183462,178707
202406,0,0,182659,173645
202407,0,0,187240,176299
202408,0,0,171878,161908
