PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,89729286.81801587,19417557.82334509,33.3338067596861,582518.461312636
2025,101328887.23511888,24209985.167824984,41.5608890974385,582518.461312636
2030,110059792.26499677,29032925.358252767,49.84035234322106,582518.461312636
2035,122186858.383645,35586679.43075831,61.091075724137504,582518.461312636
