timeseries,GenVariableOMCostsInTP,FuelCostsPerTP,PurchasedPowerCost,NonEnergyCharge
202001,0,0,59613.4,28686.5
202001,0,0,81397.2,39169
202001,0,0,75666.2,36411.2
202002,0,0,53579.9,29333.9
202002,0,0,71726.1,39268.6
202002,0,0,66998.8,36680.5
202003,0,0,52084.5,39457.9
202003,0,0,41907.9,31748.4
202003,0,0,36855.7,27921
202004,0,0,33777.4,34209.1
202004,0,0,39299.5,39801.8
202004,0,0,40490.5,41008
202005,0,0,44610.1,41034.7
202005,0,0,38012.4,34965.8
202005,0,0,42851,39416.6
202006,0,0,17570.1,39417.1
202006,0,0,17072.2,38300.1
202006,0,0,16488.1,36989.8
202007,0,0,23497,38885.5
202007,0,0,19222.7,31811.9
202007,0,0,24884.4,41181.5
202008,0,0,23271.5,33837.8
202008,0,0,24560.1,35711.4
202008,0,0,29941.8,43536.5
202009,0,0,27926.6,35246.3
202009,0,0,35753.9,45125.3
202009,0,0,29524.7,37263.3
202010,0,0,30518.2,36717
202010,0,0,31543,37949.9
202010,0,0,37041.5,44565.3
202011,0,0,40187.8,42955.8
202011,0,0,31262.5,33415.8
202011,0,0,34353.6,36719.9
202012,0,0,42976.8,44464.8
202012,0,0,32883.1,34021.5
202012,0,0,32969.1,34110.5
202101,0,0,116493,127282
202102,0,0,114300,119196
202103,0,0,96701.3,103169
202104,0,0,117586,129339
202105,0,0,118747,128087
202106,0,0,117807,124459
202107,0,0,117777,126361
202108,0,0,108003,116047
202109,0,0,117176,121089
202110,0,0,122637,123321
202111,0,0,126976,119324
202112,0,0,119937,110555
202201,0,0,135525,137669
202202,0,0,127149,128922
202203,0,0,107891,111587
202204,0,0,129945,139893
202205,0,0,130810,138539
202206,0,0,127439,134614
202207,0,0,128540,136672
202208,0,0,117512,125516
202209,0,0,126270,130970
202210,0,0,132384,133384
202211,0,0,135936,129060
202212,0,0,128165,119576
202301,0,0,145954,152535
202302,0,0,137879,142844
202303,0,0,116346,123637
202304,0,0,136768,154999
202305,0,0,138263,153499
202306,0,0,134819,149151
202307,0,0,134929,151431
202308,0,0,122347,139070
202309,0,0,132434,145114
202310,0,0,139478,147787
202311,0,0,145940,142997
202312,0,0,137773,132489
202401,0,0,151659,162107
202402,0,0,140829,151808
202403,0,0,118424,131396
202404,0,0,138440,164726
202405,0,0,139496,163132
202406,0,0,134461,158511
202407,0,0,135312,160934
202408,0,0,123198,147797
202409,0,0,134119,154220
202410,0,0,142142,157061
202411,0,0,148919,151971
202412,0,0,141051,140803
202501,0,0,37580.9,42706.6
202501,0,0,51313.7,58312.3
202501,0,0,47700.8,54206.7
202502,0,0,37628.6,43670.4
202502,0,0,50372.5,58460.5
202502,0,0,47052.5,54607.5
202503,0,0,48918.1,58742.4
202503,0,0,39360.3,47265
202503,0,0,34615.2,41567
202504,0,0,39336.6,50928.4
202504,0,0,45767.5,59254.3
202504,0,0,47154.6,61050.1
202505,0,0,47928.4,61089.8
202505,0,0,40840,52054.8
202505,0,0,46038.5,58680.9
202506,0,0,45192.3,58681.6
202506,0,0,43911.6,57018.7
202506,0,0,42409.3,55067.9
202507,0,0,44499.2,57890.2
202507,0,0,36404.4,47359.5
202507,0,0,47126.6,61308.3
202508,0,0,38489.7,50375.5
202508,0,0,40620.9,53164.9
202508,0,0,49521.8,64814.4
202509,0,0,41974.7,52472.4
202509,0,0,53739.4,67179.6
202509,0,0,44376.6,55475.1
202510,0,0,45868.3,54661.8
202510,0,0,47408.5,56497.3
202510,0,0,55672.7,66345.8
202511,0,0,58236.8,63949.8
202511,0,0,45303,49747.3
202511,0,0,49782.4,54666.1
202512,0,0,61963.9,66196.2
202512,0,0,47410.7,50649
202512,0,0,47534.8,50781.5
202601,0,0,153566,186341
202602,0,0,139305,174502
