MonthlyPeakPurchasedPower_index_1,MonthlyPeakPurchasedPower_index_2,MonthlyPeakPurchasedPower
2020,202001,17.324292
2020,202002,17.4805062
2020,202003,17.30376885
2020,202004,18.304351200000003
2020,202005,18.1590435
2020,202006,17.196298199999998
2020,202007,18.268079999999998
2020,202008,19.51584
2020,202009,20.0942871
2020,202010,19.5084819
2020,202011,19.30634535
2020,202012,19.516631399999998
2020,202101,17.324292
2020,202102,16.022328899999998
2020,202103,12.9113142
2020,202104,17.7264423
2020,202105,17.238869849999997
2020,202106,16.547279999999997
2020,202107,16.862304599999998
2020,202108,13.8146457
2020,202109,14.6736
2020,202110,14.90256
2020,202111,14.748055500000001
2020,202112,12.950799
2020,202201,17.324292
2020,202202,16.022328899999998
2020,202203,12.9113142
2020,202204,17.7264423
2020,202205,17.238869849999997
2020,202206,16.547279999999997
2020,202207,16.862304599999998
2020,202208,13.8146457
2020,202209,14.6736
2020,202210,14.90256
2020,202211,14.748055500000001
2020,202212,12.950799
2020,202301,17.324292
2020,202302,16.022328899999998
2020,202303,12.9113142
2020,202304,17.7264423
2020,202305,17.238869849999997
2020,202306,16.547279999999997
2020,202307,16.862304599999998
2020,202308,13.8146457
2020,202309,14.6736
2020,202310,14.90256
2020,202311,14.748055500000001
2020,202312,12.950799
2020,202401,17.324292
2020,202402,16.022328899999998
2020,202403,12.9113142
2020,202404,17.7264423
2020,202405,17.238869849999997
2020,202406,16.547279999999997
2020,202407,16.862304599999998
2020,202408,13.8146457
2020,202409,14.6736
2020,202410,14.90256
2020,202411,14.748055500000001
2020,202412,12.950799
2020,202501,0.0
2020,202502,0.0
2020,202503,0.0
2020,202504,0.0
2020,202505,0.0
2020,202506,0.0
2020,202507,0.0
2020,202508,0.0
2020,202509,0.0
2020,202510,0.0
2020,202511,0.0
2020,202512,0.0
2020,202601,0.0
2020,202602,0.0
2020,202603,0.0
2020,202604,0.0
2020,202605,0.0
2020,202606,0.0
2020,202607,0.0
2020,202608,0.0
2020,202609,0.0
2020,202610,0.0
2020,202611,0.0
2020,202612,0.0
2020,202701,0.0
2020,202702,0.0
2020,202703,0.0
2020,202704,0.0
2020,202705,0.0
2020,202706,0.0
2020,202707,0.0
2020,202708,0.0
2020,202709,0.0
2020,202710,0.0
2020,202711,0.0
2020,202712,0.0
2020,202801,0.0
2020,202802,0.0
2020,202803,0.0
2020,202804,0.0
2020,202805,0.0
2020,202806,0.0
2020,202807,0.0
2020,202808,0.0
2020,202809,0.0
2020,202810,0.0
2020,202811,0.0
2020,202812,0.0
2020,202901,0.0
2020,202902,0.0
2020,202903,0.0
2020,202904,0.0
2020,202905,0.0
2020,202906,0.0
2020,202907,0.0
2020,202908,0.0
2020,202909,0.0
2020,202910,0.0
2020,202911,0.0
2020,202912,0.0
2020,203001,0.0
2020,203002,0.0
2020,203003,0.0
2020,203004,0.0
2020,203005,0.0
2020,203006,0.0
2020,203007,0.0
2020,203008,0.0
2020,203009,0.0
2020,203010,0.0
2020,203011,0.0
2020,203012,0.0
2020,203101,0.0
2020,203102,0.0
2020,203103,0.0
