TIMEPOINTS_1,PurchasePower
1,10.33776
2,10.03176
3,9.72864
4,9.65088
5,9.64368
6,9.6192
7,9.63432
8,9.55368
9,9.5652
10,9.5328
11,9.5472
12,9.51048
13,9.42048
14,9.49176
15,9.4824
16,9.4968
17,9.49536
18,9.56232
19,9.60192
20,9.53784
21,9.57744
22,9.92808
23,10.20816
24,10.638
25,10.83672
26,10.33848
27,9.7092
28,9.54648
29,9.42552
30,9.40729098
31,9.25514196
32,8.67652668
33,8.783351399999997
34,9.036682650000001
35,9.0164139
36,9.0486456
37,9.0484773
38,8.462574749999998
39,8.346112199999999
40,8.9801472
41,9.081382199999998
42,9.227379899999999
43,9.3870576
44,9.2399577
45,9.1641378
46,9.40408995
47,9.5173221
48,9.7136562
49,9.7285503
50,9.6981513
51,9.7037523
52,9.807939600000001
53,9.848766900000001
54,9.88767615
55,9.9409854
56,9.96758775
57,9.671630100000002
58,9.990623099999999
59,10.3931361
60,10.60680285
61,10.8931896
62,11.0988
63,11.0740104
64,11.0235786
65,11.2085868
66,11.15963889
67,11.24101101
68,11.127491939999999
69,11.13277287
70,11.005512990000001
71,10.99273314
72,11.023446569999999
73,11.09952
74,11.40336
75,11.5956
76,11.85984
77,11.89872
78,11.82384
79,11.7684
80,11.72232
81,11.63736
82,11.67408
83,11.49552
84,11.56896
85,11.51712
86,11.47176
87,11.25216
88,11.20104
89,11.18448
90,11.20176
91,11.04984
92,11.01744
93,10.89936
94,10.95264
95,10.89792
96,10.84248
97,11.04264
98,10.74384
99,10.46592
100,10.38816
101,10.31688
102,10.2492
103,10.21536
104,10.15992
105,10.09872
106,10.1016
107,10.11672
108,10.10088
109,10.08576
110,10.12464
111,10.0764
112,10.02816
113,10.05192
114,10.08504
115,10.08
116,10.10376
117,10.13832
118,10.56096
119,11.142
120,11.67768
121,12.0528
122,12.79368
123,13.45464
124,13.65264
125,13.687920000000002
126,13.932081870000001
127,13.98832374
128,14.23027527
129,14.3786268
130,14.779131600000001
131,15.0737964
132,15.45515205
133,15.711227699999998
134,15.897736199999999
135,16.0957647
136,16.420308000000002
137,16.5043713
138,16.60179
139,16.6927287
140,16.899726750000003
141,16.8864048
142,17.0579718
143,17.1661788
144,17.0512971
145,16.8932154
146,17.01038595
147,17.1189165
148,17.1827361
149,17.1687957
150,17.14477395
151,17.232352199999998
152,17.31348105
153,17.2952499
154,17.31445095
155,17.324292
156,17.2087641
157,17.2278762
158,17.1677322
159,17.1342282
160,17.04523632
161,17.015284440000002
162,16.90678287
163,16.677321329999998
164,16.398007380000003
165,16.056773399999997
166,15.48087636
167,15.254179290000002
168,15.11328966
169,15.13728
170,15.04512
171,15.07824
172,14.87376
173,14.68368
174,14.49864
175,14.328
176,14.20488
177,14.09472
178,13.94208
179,13.76424
180,13.69512
181,13.5648
182,13.20912
183,13.08024
184,12.96648
185,12.73752
186,12.32712
187,11.93256
188,11.79288
189,11.64888
190,11.5128
191,11.3652
192,11.29248
193,10.36872
194,10.00512
195,9.71784
196,9.55584
197,9.47592
198,9.39096
199,9.40968
200,9.37512
201,9.27144
202,9.31392
203,9.27288
204,9.17856
205,9.18216
206,9.16776
207,9.07992
208,9.06984
209,9.05904
210,9.19944
211,9.22968
212,9.09504
213,9.20232
214,9.73512
215,10.26504
216,10.4688
217,10.55448
218,11.43144
219,12.2868
220,12.32352
221,12.3948
222,12.57406038
223,12.56324079
224,12.56705571
225,12.7811106
226,13.100212500000001
227,13.4135544
228,13.6074255
229,13.8747366
230,14.1487851
231,14.2889136
232,14.4861054
233,14.6962572
234,14.9363712
235,15.106645199999999
236,15.541276649999999
237,15.497828100000001
238,15.60153675
239,15.7923654
240,15.82614555
241,15.966485700000002
242,16.127078850000004
243,15.843432
244,15.825808800000003
245,16.078905600000002
246,16.343747850000003
247,16.361630100000003
248,16.1797335
249,16.1079969
250,16.174370399999997
251,16.1701839
252,16.2193224
253,16.286460900000005
254,16.282628699999997
255,16.418476499999997
256,16.3596759
257,16.200075299999998
258,16.05286761
259,15.93661992
260,15.67601766
261,15.4571754
262,14.986029330000001
263,14.75032329
264,14.67449712
265,14.726830979999999
266,14.59041549
267,14.46192
268,14.28984
269,14.05728
270,13.819679999999998
271,13.65408
272,13.53672
273,13.4244
274,13.286879999999998
275,13.01976
276,12.8988
277,12.80304
278,12.5784
279,12.3084
280,12.20616
281,12.12408
282,11.63088
283,11.34576
284,11.1888
285,11.10024
286,11.00808
287,10.90584
288,10.86768
289,10.68264
290,10.37952
291,10.1304
292,9.97704
293,9.9612
294,9.85608
295,9.51696
296,9.56736
297,9.4824
298,9.47736
299,9.468
300,9.35568
301,9.40104
302,9.3168
303,9.28296
304,9.31968
305,9.25848
306,9.43128
307,9.37872
308,9.3204
309,9.38592
310,9.51408
311,9.81432
312,9.9396
313,9.89712
314,10.09224
315,10.14192
316,10.19736
317,10.05624
318,9.8108739
319,9.8124678
320,9.73033335
321,9.7237989
322,9.8966364
323,9.9852339
324,10.0009029
325,10.126731900000001
326,10.142130750000002
327,10.2187296
328,10.30776795
329,10.3759263
330,10.2202305
331,10.1631747
332,10.4330709
333,10.429367099999999
334,10.420545299999999
335,10.5334035
336,10.592366100000001
337,10.5814887
338,10.654659
339,10.7479893
340,10.801883400000001
341,10.8399375
342,10.831115400000002
343,10.8086133
344,10.86345915
345,10.998225000000001
346,11.0112381
347,11.0343312
348,11.10962145
349,11.0905917
350,11.01040545
351,11.0007792
352,10.9549125
353,10.8809658
354,10.8685917
355,10.9346976
356,10.92047985
357,10.8911421
358,10.8802566
359,10.9075311
360,10.95214341
361,11.206275719999999
362,11.29473786
363,11.3076
364,11.42568
365,11.37024
366,11.37744
367,11.4228
368,11.3544
369,11.37456
370,11.3832
371,11.35656
372,11.31912
373,11.27304
374,11.03904
375,11.09376
376,11.0664
377,10.96776
378,11.00088
379,10.88352
380,10.87416
381,10.72008
382,10.58184
383,10.58184
384,10.46736
385,11.124
386,10.86192
387,10.60704
388,10.39536
389,10.30896
390,10.25136
391,10.21464
392,10.18224
393,10.10736
394,10.11888
395,10.06488
396,10.0404
397,10.0044
398,10.00728
399,9.97272
400,9.96624
401,10.02024
402,10.0836
403,10.08792
404,10.00152
405,10.11816
406,10.5948
407,11.088
408,11.5812
409,11.6352
410,12.81888
411,13.51944
412,13.5072
413,13.558320000000002
414,13.676852010000001
415,13.811224020000001
416,13.934624310000002
417,14.155944599999998
418,14.3734392
419,14.6168538
420,15.000526050000001
421,15.3049983
422,15.475821300000002
423,15.7388043
424,15.961679700000001
425,16.180235099999997
426,16.3815999
427,16.5138447
428,16.571195999999993
429,16.688307299999998
430,16.78104945
431,16.955151600000008
432,17.0573331
433,17.029194599999993
434,17.01760365
435,16.9426527
436,16.9148298
437,17.0518869
438,17.17512885
439,17.2882908
440,17.220884549999997
441,17.1995583
442,17.41347225
443,17.4805062
444,17.3879913
445,17.296916399999997
446,17.31239175
447,17.181707099999993
448,17.030606549999998
449,16.994706
450,16.874811899999997
451,16.7505978
452,16.4941545
453,16.247791199999998
454,15.970949879999994
455,15.92738853
456,15.86791644
457,15.84372432
458,15.68742216
459,15.47064
460,15.36048
461,15.25752
462,15.00048
463,14.6916
464,14.60016
465,14.429520000000002
466,14.32296
467,14.07312
468,13.90032
469,13.68576
470,13.40064
471,13.1796
472,12.99384
473,12.82392
474,12.56472
475,12.23208
476,12.10032
477,11.94984
478,11.74896
479,11.58912
480,11.48328
481,10.85184
482,10.53864
483,10.23336
484,10.18944
485,10.17216
486,10.0656
487,9.93096
488,9.90936
489,9.85752
490,9.78408
491,9.72144
492,9.67608
493,9.69408
494,9.60696
495,9.57096
496,9.56016
497,9.57672
498,9.61704
499,9.62064
500,9.56376
501,9.70416
502,10.01808
503,10.62288
504,10.94328
505,11.15352
506,12.24504
507,12.97368
508,13.03704
509,13.19328
510,13.236451319999999
511,13.308422669999999
512,13.52847255
513,13.687322429999998
514,14.13761649
515,14.392070519999999
516,14.60531748
517,14.88480447
518,15.007501260000002
519,15.11795805
520,15.23032974
521,15.3225414
522,15.3547779
523,15.5850144
524,15.594198599999999
525,15.4593828
526,15.6206007
527,15.447738600000001
528,15.635862
529,15.804545399999999
530,15.77841465
531,15.7292439
532,15.979440150000002
533,15.969716400000001
534,15.9632364
535,16.012916399999998
536,15.95415555
537,15.950114699999999
538,16.002592049999997
539,15.985229399999998
540,16.022328899999998
541,15.9989484
542,15.93705165
543,15.9169149
544,15.74431863
545,15.614922329999999
546,15.38414568
547,15.221048999999999
548,15.009531449999999
549,14.7944139
550,14.36352114
551,14.08742835
552,14.073109409999999
553,14.150950470000002
554,14.109875220000001
555,14.05656
556,13.974479999999998
557,13.91256
558,13.648320000000002
559,13.3596
560,13.16376
561,13.12776
562,12.95208
563,12.46464
564,12.49776
565,12.3408
566,12.00168
567,11.8332
568,11.81232
569,11.71584
570,11.3724
571,11.20176
572,11.11104
573,10.90656
574,10.74744
575,10.72728
576,10.72944
577,11.48184
578,11.0016
579,10.7028
580,10.52568
581,10.5336
582,10.42416
583,10.35864
584,10.28808
585,10.25208
586,10.03536
587,9.9252
588,9.9396
589,9.95328
590,9.88056
591,9.88128
592,9.92232
593,9.89424
594,9.95976
595,10.026
596,10.07712
597,10.13328
598,10.44
599,11.06496
600,11.45808
601,11.61216
602,12.6216
603,13.245120000000002
604,13.17767937
605,13.27079871
606,13.34457945
607,13.460840159999998
608,13.66822368
609,13.992967199999999
610,14.35526145
611,14.7125157
612,14.97449445
613,15.3567132
614,15.735992099999999
615,15.899991
616,16.11377925
617,16.3405275
618,16.32023865
619,16.5497898
620,16.68127995
621,16.718450100000002
622,16.68543255
623,16.755375
624,16.903327500000003
625,16.95048
626,16.8843639
627,16.9924878
628,17.1155568
629,17.0802258
630,17.083730700000004
631,17.196675600000003
632,17.21048955
633,17.2444635
634,17.30376885
635,17.2788342
636,17.17737495
637,17.183195700000002
638,17.21008275
639,17.1239298
640,16.96456245
641,16.8469551
642,16.772334899999997
643,16.665314700000003
644,16.3814463
645,16.2566979
646,15.922549649999999
647,15.7511214
648,15.628475219999999
649,15.64766901
650,16.01017248
651,16.13795592
652,15.95621796
653,15.71832
654,15.5556
655,15.365520000000002
656,15.30432
657,15.156
658,14.89896
659,14.47848
660,14.26392
661,14.053679999999998
662,13.74696
663,13.47336
664,13.41864
665,13.24224
666,12.63744
667,12.49992
668,12.37464
669,12.2076
670,12.12264
671,11.95848
672,11.84688
673,10.30968
674,9.9324
675,9.89064
676,9.78984
677,9.7092
678,9.6192
679,9.5724
680,9.558
681,9.5292
682,9.50616
683,9.44352
684,9.44064
685,9.44208
686,9.50328
687,9.42624
688,9.44352
689,9.44928
690,9.49536
691,9.5112
692,9.50472
693,9.49104
694,9.89064
695,10.42056
696,10.49472
697,10.60704
698,10.84104
699,10.97496
700,11.0951487
701,11.6235774
702,11.67920004
703,11.71826271
704,11.77609542
705,11.9318481
706,12.1004676
707,12.084047100000001
708,12.1453917
709,12.2369763
710,12.456534150000001
711,11.164812
712,11.25764295
713,11.8919139
714,12.17282265
715,12.198851399999999
716,12.1882131
717,12.101974799999999
718,11.698771350000001
719,11.7534879
720,11.83936935
721,11.903650800000001
722,11.87398035
723,11.7262299
724,11.79443145
725,12.177273
726,12.14401125
727,12.1100295
728,12.12444285
729,12.146776200000001
730,11.9005548
731,11.8760934
732,12.06685725
733,11.8457811
734,11.8811349
735,11.9618487
736,12.51002145
737,12.9113142
738,12.8635584
739,12.761802600000001
740,12.38393295
741,12.3869433
742,12.152037
743,12.352730699999999
744,12.32968593
745,12.312401159999999
746,12.26882148
747,12.5542818
748,12.5368209
749,12.51936
750,12.34512
751,12.20616
752,12.06504
753,12.03048
754,11.988
755,11.88432
756,11.87568
757,11.78208
758,11.63304
759,11.214
760,11.23056
761,11.16864
762,11.10168
763,10.94976
764,10.92384
765,10.78488
766,10.68624
767,10.63224
768,10.60056
769,10.2384
770,9.8712
771,9.66816
772,9.5976
773,9.5436
774,9.504
775,9.42264
776,9.41976
777,9.32688
778,9.23976
779,9.21744
780,9.22752
781,9.20088
782,9.07776
783,8.94384
784,8.9784
785,8.93304
786,8.89128
787,8.948160000000003
788,9.02808
789,8.963280000000003
790,9.25704
791,9.54216
792,9.56304
793,9.41472
794,9.71784
795,9.7704
796,9.64644795
797,9.6823359
798,9.5466741
