timestamp,GenVariableOMCostsInTP,FuelCostsPerTP,PurchasedPowerCost,NonEnergyCharge
20200109,0,0,916.545,441.049
20200109,0,0,904.115,435.068
20200109,0,0,892.561,429.508
20200109,0,0,881.313,424.095
20200109,0,0,870.941,419.104
20200109,0,0,863.457,415.503
20200109,0,0,856.761,412.28
20200109,0,0,847.482,407.816
20200109,0,0,836.672,402.614
20200109,0,0,832.471,400.592
20200109,0,0,824.549,396.78
20200109,0,0,802.929,386.376
20200109,0,0,795.095,382.606
20200109,0,0,788.18,379.279
20200109,0,0,774.262,372.581
20200109,0,0,749.316,360.577
20200109,0,0,725.332,349.036
20200109,0,0,716.841,344.95
20200109,0,0,708.088,340.738
20200109,0,0,699.816,336.757
20200109,0,0,690.844,332.44
20200109,0,0,686.424,330.313
20200116,0,0,630.272,303.292
20200116,0,0,608.171,292.657
20200116,0,0,590.708,284.254
20200116,0,0,580.861,279.515
20200116,0,0,576.003,277.177
20200116,0,0,570.838,274.692
20200116,0,0,571.976,275.24
20200116,0,0,569.875,274.229
20200116,0,0,563.573,271.196
20200116,0,0,566.155,272.439
20200116,0,0,563.661,271.238
20200116,0,0,557.927,268.479
20200116,0,0,558.146,268.585
20200116,0,0,557.271,268.163
20200116,0,0,551.931,265.594
20200116,0,0,551.319,265.299
20200116,0,0,550.662,264.983
20200116,0,0,559.197,269.09
20200116,0,0,561.035,269.975
20200116,0,0,552.851,266.036
20200116,0,0,559.372,269.174
20200116,0,0,591.758,284.759
20200116,0,0,623.97,300.26
20200116,0,0,636.356,306.22
20200116,0,0,641.564,308.726
20200116,0,0,694.871,334.378
20200116,0,0,746.865,359.397
20200116,0,0,749.097,360.472
20200116,0,0,753.43,362.557
20200116,0,0,764.326,367.8
20200116,0,0,763.668,367.484
20200116,0,0,763.9,367.595
20200116,0,0,776.912,373.856
20200116,0,0,796.309,383.19
20200116,0,0,815.356,392.356
20200116,0,0,827.14,398.027
20200116,0,0,843.389,405.846
20200116,0,0,860.047,413.862
20200116,0,0,868.565,417.961
20200116,0,0,880.552,423.729
20200116,0,0,893.326,429.876
20200116,0,0,907.921,436.899
20200116,0,0,918.272,441.88
20200116,0,0,944.691,454.593
20200116,0,0,942.05,453.322
20200116,0,0,948.354,456.356
20200116,0,0,959.954,461.938
20200116,0,0,962.007,462.926
20200116,0,0,970.538,467.031
20200116,0,0,980.3,471.728
20200116,0,0,963.058,463.431
20200116,0,0,961.987,462.916
20200116,0,0,977.371,470.319
20200116,0,0,993.47,478.066
20200116,0,0,994.557,478.589
20200116,0,0,983.5,473.268
20200116,0,0,979.14,471.17
20200116,0,0,983.174,473.112
20200116,0,0,982.92,472.989
20200116,0,0,985.907,474.426
20200116,0,0,989.988,476.39
20200116,0,0,989.755,476.278
20200116,0,0,998.013,480.252
20200116,0,0,994.438,478.532
20200116,0,0,984.737,473.864
20200116,0,0,975.789,469.558
20200116,0,0,968.722,466.157
20200116,0,0,952.881,458.534
20200116,0,0,939.579,452.133
20200116,0,0,910.94,438.352
20200116,0,0,896.612,431.457
20200116,0,0,892.003,429.239
20200116,0,0,895.184,430.77
20200116,0,0,886.892,426.78
20200116,0,0,879.081,423.021
20200116,0,0,868.621,417.988
20200116,0,0,854.485,411.185
20200116,0,0,840.042,404.235
20200116,0,0,829.976,399.391
20200116,0,0,822.842,395.959
20200116,0,0,816.015,392.673
20200116,0,0,807.655,388.651
20200116,0,0,791.418,380.837
20200116,0,0,784.066,377.299
20200116,0,0,778.245,374.498
20200116,0,0,764.59,367.927
20200116,0,0,748.178,360.029
20200116,0,0,741.963,357.039
20200116,0,0,736.974,354.638
20200116,0,0,706.994,340.211
20200116,0,0,689.663,331.871
20200116,0,0,680.122,327.28
20200116,0,0,674.739,324.69
20200116,0,0,669.136,321.994
20200116,0,0,662.922,319.003
20200116,0,0,660.602,317.887
20200203,0,0,570.752,312.475
20200203,0,0,554.556,303.608
20200203,0,0,541.246,296.321
